date,open,high,low,close,adj close,volume,9 sma,20 sma,50 sma,macd_12_26,macdsign_12_26,macddiff_12_26,stocastic_kdjd_5,stocastic_kdjk_3,rsi_rsi_14,adx_adx_15_ema,bbands_boll,bbands_boll_ub,bbands_boll_lb,atr_atr,stock_name,SKDT,SKDB,SOBZE,SOBZX,SOSZE,SOSZX
2016-12-05,110.0,110.03,108.25,109.11,107.76899999999999,34324500,110.76299999999999,110.0,112.735,-0.616,-0.691,0.075,43.494,34.168,41.108000000000004,27.421,110.0,113.34200000000001,106.65700000000001,1.882,AAPL,False,False,False,False,False,False
2016-12-06,109.5,110.36,109.19,109.95,108.59899999999999,26195500,110.55799999999999,109.976,112.676,-0.598,-0.672,0.07400000000000001,40.667,49.635,45.371,27.318,109.976,113.31299999999999,106.64,1.835,AAPL,False,True,False,False,False,False
2016-12-07,109.26,111.19,109.16,111.03,109.666,29998700,110.536,109.975,112.635,-0.493,-0.636,0.14400000000000002,45.398,64.609,50.349,26.61,109.975,113.31,106.64,1.85,AAPL,False,False,False,False,False,False
2016-12-08,110.86,112.43,110.6,112.12,110.742,27068300,110.572,110.037,112.598,-0.319,-0.573,0.254,52.743,73.24600000000001,54.821999999999996,25.698,110.037,113.48700000000001,106.587,1.848,AAPL,False,False,False,False,False,False
2016-12-09,112.31,114.7,112.31,113.95,112.55,34402600,110.837,110.345,112.634,-0.035,-0.465,0.43,59.967,77.65100000000001,61.151,25.636999999999997,110.345,114.041,106.649,1.902,AAPL,False,False,False,False,False,False
2016-12-12,113.29,115.0,112.49,113.3,111.90799999999999,26374400,111.041,110.588,112.639,0.136,-0.345,0.48100000000000004,64.391,72.222,58.041000000000004,26.205,110.588,114.39299999999999,106.78399999999999,1.946,AAPL,False,False,False,False,False,False
2016-12-13,113.84,115.92,113.75,115.19,113.774,43733800,111.56,111.06299999999999,112.69200000000001,0.418,-0.192,0.61,69.11399999999999,74.741,63.806000000000004,27.426,111.06299999999999,114.665,107.46,1.995,AAPL,False,False,False,False,False,False
2016-12-14,115.04,116.2,114.98,115.19,113.774,34031800,112.193,111.46700000000001,112.736,0.633,-0.027000000000000003,0.66,72.641,74.086,63.806000000000004,29.090999999999998,111.46700000000001,115.015,107.91799999999999,1.939,AAPL,False,False,False,False,False,False
2016-12-15,115.38,116.73,115.23,115.82,114.397,46524500,112.851,111.758,112.791,0.845,0.14800000000000002,0.6970000000000001,74.961,72.545,65.631,31.128,111.758,115.728,107.788,1.91,AAPL,True,False,False,False,False,False
2016-12-16,116.47,116.5,115.65,115.97,114.545,44351100,113.613,112.059,112.833,1.013,0.321,0.6920000000000001,76.782,67.22,66.07,33.324,112.059,116.352,107.766,1.8330000000000002,AAPL,False,False,False,False,False,False
2016-12-19,115.8,117.38,115.75,116.64,115.20700000000001,27779400,114.35700000000001,112.38799999999999,112.885,1.186,0.494,0.6920000000000001,77.907,66.67399999999999,68.033,35.798,112.38799999999999,117.03,107.74600000000001,1.818,AAPL,False,False,False,False,False,False
2016-12-20,116.74,117.5,116.68,116.95,115.51299999999999,21425000,115.014,112.649,112.90299999999999,1.3319999999999999,0.6609999999999999,0.6709999999999999,78.436,67.873,68.929,38.39,112.649,117.704,107.594,1.749,AAPL,False,False,False,False,False,False
2016-12-21,116.8,117.4,116.78,117.06,115.62200000000001,23783200,115.56299999999999,112.912,112.91799999999999,1.44,0.8170000000000001,0.623,78.914,70.20100000000001,69.258,40.964,112.912,118.316,107.508,1.6669999999999998,AAPL,False,False,False,False,False,False
2016-12-22,116.35,116.51,115.64,116.29,114.861,26085900,115.823,113.165,112.897,1.4480000000000002,0.943,0.504,74.241,58.449,64.13600000000001,41.99100000000001,113.165,118.71,107.62,1.65,AAPL,False,False,False,False,False,False
2016-12-23,115.59,116.52,115.59,116.52,115.088,14181200,116.181,113.40100000000001,112.88799999999999,1.455,1.046,0.41,69.325,56.093,64.969,41.961000000000006,113.40100000000001,119.1,107.70299999999999,1.598,AAPL,False,False,False,False,False,False
