date,close,date,high,low,open,volume
2016-06-01T09:15:00+0530,218.23,2016-06-01T09:15:00+0530,223.14,217.36,221.73,11862710
2016-06-02T09:15:00+0530,219.41,2016-06-02T09:15:00+0530,220.36,216.0,217.36,15349531
2016-06-03T09:15:00+0530,221.59,2016-06-03T09:15:00+0530,224.0,220.0,220.82,16566716
2016-06-06T09:15:00+0530,221.36,2016-06-06T09:15:00+0530,223.64,220.0,221.27,11592083
2016-06-07T09:15:00+0530,231.0,2016-06-07T09:15:00+0530,231.68,222.45,223.18,25311345
2016-06-08T09:15:00+0530,234.23,2016-06-08T09:15:00+0530,237.45,229.82,232.0,25139392
2016-06-09T09:15:00+0530,231.41,2016-06-09T09:15:00+0530,235.68,230.18,233.64,13787241
2016-06-10T09:15:00+0530,229.64,2016-06-10T09:15:00+0530,234.23,228.64,230.0,13236449
2016-06-13T09:15:00+0530,221.59,2016-06-13T09:15:00+0530,225.82,220.41,225.82,14297870
2016-06-14T09:15:00+0530,222.68,2016-06-14T09:15:00+0530,224.95,222.09,224.55,11988709
2016-06-15T09:15:00+0530,225.41,2016-06-15T09:15:00+0530,226.55,219.64,223.18,15761615
2016-06-16T09:15:00+0530,217.32,2016-06-16T09:15:00+0530,221.55,216.41,221.55,17042022
2016-06-17T09:15:00+0530,216.77,2016-06-17T09:15:00+0530,220.18,213.77,219.5,15150944
2016-06-20T09:15:00+0530,216.45,2016-06-20T09:15:00+0530,217.68,212.41,212.41,17780316
2016-06-21T09:15:00+0530,216.23,2016-06-21T09:15:00+0530,219.09,214.77,218.41,12191664
2016-06-22T09:15:00+0530,217.27,2016-06-22T09:15:00+0530,220.32,214.36,215.55,13478057
2016-06-23T09:15:00+0530,219.0,2016-06-23T09:15:00+0530,219.5,214.59,217.32,7979235
2016-06-24T09:15:00+0530,209.95,2016-06-24T09:15:00+0530,211.73,201.0,208.18,33755633
2016-06-27T09:15:00+0530,211.55,2016-06-27T09:15:00+0530,213.09,208.45,208.45,13172969
2016-06-28T09:15:00+0530,211.95,2016-06-28T09:15:00+0530,212.91,209.09,209.64,11302738
2016-06-29T09:15:00+0530,215.14,2016-06-29T09:15:00+0530,216.64,212.95,214.45,7959976
2016-06-30T09:15:00+0530,218.68,2016-06-30T09:15:00+0530,220.73,217.55,217.73,16851065
2016-07-01T09:15:00+0530,218.5,2016-07-01T09:15:00+0530,220.59,217.77,219.73,9108854
2016-07-04T09:15:00+0530,225.59,2016-07-04T09:15:00+0530,226.32,219.91,221.0,10389223
2016-07-05T09:15:00+0530,222.82,2016-07-05T09:15:00+0530,228.27,222.32,228.0,10375133
2016-07-07T09:15:00+0530,222.59,2016-07-07T09:15:00+0530,224.59,221.82,222.73,8365966
2016-07-08T09:15:00+0530,219.95,2016-07-08T09:15:00+0530,222.27,217.77,222.27,7658211
2016-07-11T09:15:00+0530,227.14,2016-07-11T09:15:00+0530,227.91,224.18,224.18,9682386
2016-07-12T09:15:00+0530,237.91,2016-07-12T09:15:00+0530,238.36,227.95,228.73,28558550
2016-07-13T09:15:00+0530,237.41,2016-07-13T09:15:00+0530,243.36,235.55,240.23,28248931
2016-07-14T09:15:00+0530,244.18,2016-07-14T09:15:00+0530,245.09,236.05,237.27,14269365
2016-07-15T09:15:00+0530,241.59,2016-07-15T09:15:00+0530,245.32,239.45,245.0,11510450
2016-07-18T09:15:00+0530,239.45,2016-07-18T09:15:00+0530,246.59,238.68,241.64,14310274
2016-07-19T09:15:00+0530,244.68,2016-07-19T09:15:00+0530,245.91,239.32,240.91,14880050
2016-07-20T09:15:00+0530,243.18,2016-07-20T09:15:00+0530,243.82,241.32,242.73,7892214
2016-07-21T09:15:00+0530,238.09,2016-07-21T09:15:00+0530,244.55,237.55,242.64,12060367
2016-07-22T09:15:00+0530,239.5,2016-07-22T09:15:00+0530,240.36,235.32,238.5,8537587
2016-07-25T09:15:00+0530,244.23,2016-07-25T09:15:00+0530,246.32,237.05,238.09,11311554
2016-07-26T09:15:00+0530,237.86,2016-07-26T09:15:00+0530,245.0,236.45,244.05,11896759
2016-07-27T09:15:00+0530,246.0,2016-07-27T09:15:00+0530,248.91,238.91,238.91,26003949
2016-07-28T09:15:00+0530,247.27,2016-07-28T09:15:00+0530,249.09,245.86,246.27,9781547
2016-07-29T09:15:00+0530,239.0,2016-07-29T09:15:00+0530,246.68,238.23,245.5,21115026
2016-08-01T09:15:00+0530,226.82,2016-08-01T09:15:00+0530,237.55,225.64,232.64,42583052
