date,close,date,high,low,open,volume
2016-06-01T09:15:00+0530,204.65,2016-06-01T09:15:00+0530,205.9,203.5,205.9,1431209
2016-06-01T09:20:00+0530,204.6,2016-06-01T09:20:00+0530,204.7,203.8,204.6,638995
2016-06-01T09:25:00+0530,205.05,2016-06-01T09:25:00+0530,205.3,204.5,204.6,796201
2016-06-01T09:30:00+0530,204.95,2016-06-01T09:30:00+0530,205.75,204.85,205.0,656574
2016-06-01T09:35:00+0530,204.9,2016-06-01T09:35:00+0530,205.2,204.5,204.9,333279
2016-06-01T09:40:00+0530,204.6,2016-06-01T09:40:00+0530,205.1,204.55,204.95,311162
2016-06-01T09:45:00+0530,204.6,2016-06-01T09:45:00+0530,204.85,204.5,204.6,276948
2016-06-01T09:50:00+0530,205.2,2016-06-01T09:50:00+0530,205.25,204.55,204.65,490509
2016-06-01T09:55:00+0530,205.4,2016-06-01T09:55:00+0530,205.5,205.15,205.15,478185
2016-06-01T10:00:00+0530,207.4,2016-06-01T10:00:00+0530,207.4,205.35,205.35,1834207
2016-06-01T10:05:00+0530,207.1,2016-06-01T10:05:00+0530,207.4,206.7,207.35,796295
2016-06-01T10:10:00+0530,206.75,2016-06-01T10:10:00+0530,207.2,206.75,207.0,525176
2016-06-01T10:15:00+0530,207.75,2016-06-01T10:15:00+0530,207.75,206.5,206.8,1203145
2016-06-01T10:20:00+0530,207.8,2016-06-01T10:20:00+0530,208.2,207.7,207.7,1083883
2016-06-01T10:25:00+0530,207.8,2016-06-01T10:25:00+0530,208.0,207.6,207.85,428771
2016-06-01T10:30:00+0530,207.65,2016-06-01T10:30:00+0530,207.85,207.55,207.8,342676
2016-06-01T10:35:00+0530,206.95,2016-06-01T10:35:00+0530,207.75,206.5,207.7,699684
2016-06-01T10:40:00+0530,206.6,2016-06-01T10:40:00+0530,207.15,206.5,206.8,444980
2016-06-01T10:45:00+0530,206.65,2016-06-01T10:45:00+0530,206.8,206.5,206.6,347679
2016-06-01T10:50:00+0530,206.75,2016-06-01T10:50:00+0530,207.0,206.5,206.6,227367
2016-06-01T10:55:00+0530,206.45,2016-06-01T10:55:00+0530,206.8,206.4,206.75,336656
2016-06-01T11:00:00+0530,205.85,2016-06-01T11:00:00+0530,206.5,205.7,206.45,565003
2016-06-01T11:05:00+0530,205.15,2016-06-01T11:05:00+0530,205.85,205.1,205.85,826845
2016-06-01T11:10:00+0530,204.95,2016-06-01T11:10:00+0530,205.35,204.8,205.15,685288
2016-06-01T11:15:00+0530,205.4,2016-06-01T11:15:00+0530,205.65,204.9,205.0,341440
2016-06-01T11:20:00+0530,205.25,2016-06-01T11:20:00+0530,205.65,205.25,205.4,243489
2016-06-01T11:25:00+0530,204.0,2016-06-01T11:25:00+0530,205.4,203.75,205.3,1082351
2016-06-01T11:30:00+0530,204.65,2016-06-01T11:30:00+0530,204.75,203.9,204.0,408923
2016-06-01T11:35:00+0530,204.75,2016-06-01T11:35:00+0530,204.85,204.5,204.65,153386
2016-06-01T11:40:00+0530,204.3,2016-06-01T11:40:00+0530,204.8,204.0,204.75,301367
2016-06-01T11:45:00+0530,204.5,2016-06-01T11:45:00+0530,204.55,204.1,204.25,177820
2016-06-01T11:50:00+0530,204.1,2016-06-01T11:50:00+0530,204.7,204.0,204.55,200858
2016-06-01T11:55:00+0530,203.35,2016-06-01T11:55:00+0530,204.2,203.1,204.05,756496
2016-06-01T12:00:00+0530,203.75,2016-06-01T12:00:00+0530,203.8,203.15,203.25,508389
2016-06-01T12:05:00+0530,203.65,2016-06-01T12:05:00+0530,203.8,203.2,203.75,323359
2016-06-01T12:10:00+0530,203.85,2016-06-01T12:10:00+0530,204.25,203.55,203.7,252587
2016-06-01T12:15:00+0530,203.95,2016-06-01T12:15:00+0530,204.2,203.75,203.9,124361
2016-06-01T12:20:00+0530,204.1,2016-06-01T12:20:00+0530,204.1,203.8,203.95,126717
2016-06-01T12:25:00+0530,203.3,2016-06-01T12:25:00+0530,204.15,203.15,204.1,259523
2016-06-01T12:30:00+0530,203.75,2016-06-01T12:30:00+0530,203.8,203.25,203.3,238506
2016-06-01T12:35:00+0530,202.75,2016-06-01T12:35:00+0530,203.75,202.55,203.75,527101
2016-06-01T12:40:00+0530,203.1,2016-06-01T12:40:00+0530,203.15,202.7,202.7,287701
2016-06-01T12:45:00+0530,202.9,2016-06-01T12:45:00+0530,203.25,202.8,203.05,258889
2016-06-01T12:50:00+0530,202.8,2016-06-01T12:50:00+0530,202.9,202.1,202.9,526323
2016-06-01T12:55:00+0530,202.95,2016-06-01T12:55:00+0530,203.0,202.8,202.85,184623
2016-06-01T13:00:00+0530,202.55,2016-06-01T13:00:00+0530,203.0,202.25,203.0,288855
2016-06-01T13:05:00+0530,202.45,2016-06-01T13:05:00+0530,202.7,202.3,202.55,187535
2016-06-01T13:10:00+0530,203.4,2016-06-01T13:10:00+0530,203.9,202.4,202.45,485987
