date,open,high,low,close,volume,scrip_name
2014-08-18T00:00:00+0530,209.35,215.9,209.35,214.0,2711212,AMBUJACEM
2014-08-19T00:00:00+0530,214.6,218.0,214.15,216.5,3640252,AMBUJACEM
2014-08-20T00:00:00+0530,217.0,218.45,214.7,215.7,1910974,AMBUJACEM
2014-08-21T00:00:00+0530,215.0,216.5,212.05,213.95,1299230,AMBUJACEM
2014-08-22T00:00:00+0530,214.25,215.0,210.1,211.25,1366362,AMBUJACEM
2014-08-25T00:00:00+0530,212.0,215.0,210.7,212.45,1783626,AMBUJACEM
2014-08-26T00:00:00+0530,212.0,212.5,207.85,208.95,1286224,AMBUJACEM
2014-08-27T00:00:00+0530,208.75,210.4,205.7,206.95,1930517,AMBUJACEM
2014-08-28T00:00:00+0530,206.5,208.75,205.9,206.3,2357210,AMBUJACEM
2014-09-01T00:00:00+0530,207.2,209.3,207.2,208.45,2848915,AMBUJACEM
2014-09-02T00:00:00+0530,208.45,216.3,208.45,215.75,5106207,AMBUJACEM
2014-09-03T00:00:00+0530,216.5,217.4,213.55,214.5,3755289,AMBUJACEM
2014-09-04T00:00:00+0530,214.0,214.85,208.5,211.75,1405156,AMBUJACEM
2014-09-05T00:00:00+0530,211.95,214.6,210.6,212.75,1331652,AMBUJACEM
2014-09-08T00:00:00+0530,213.55,220.2,212.7,219.3,4922851,AMBUJACEM
2014-09-09T00:00:00+0530,220.25,221.15,217.0,219.0,2160271,AMBUJACEM
2014-09-10T00:00:00+0530,217.9,219.0,215.5,216.85,1690221,AMBUJACEM
2014-09-11T00:00:00+0530,217.1,218.5,213.9,215.0,2074341,AMBUJACEM
2014-09-12T00:00:00+0530,214.45,216.0,212.8,214.8,1376048,AMBUJACEM
2014-09-15T00:00:00+0530,213.2,214.8,210.05,210.75,931278,AMBUJACEM
2014-09-16T00:00:00+0530,210.75,213.0,205.5,206.9,1562805,AMBUJACEM
2014-09-17T00:00:00+0530,208.4,209.7,206.05,209.2,1811753,AMBUJACEM
2014-09-18T00:00:00+0530,207.6,214.0,207.6,213.45,2044598,AMBUJACEM
2014-09-19T00:00:00+0530,213.45,216.85,211.35,215.05,2886447,AMBUJACEM
2014-09-22T00:00:00+0530,214.05,216.7,211.6,214.15,1771298,AMBUJACEM
2014-09-23T00:00:00+0530,213.55,214.9,211.55,213.8,2638843,AMBUJACEM
2014-09-24T00:00:00+0530,213.8,216.6,210.0,212.05,3201491,AMBUJACEM
2014-09-25T00:00:00+0530,212.1,213.35,205.0,206.95,3671677,AMBUJACEM
2014-09-26T00:00:00+0530,207.7,213.25,205.2,212.05,2017565,AMBUJACEM
2014-09-29T00:00:00+0530,213.3,215.5,210.45,214.75,1623501,AMBUJACEM
2014-09-30T00:00:00+0530,214.15,215.9,212.2,213.7,2077299,AMBUJACEM
2014-10-01T00:00:00+0530,213.9,214.3,210.0,210.65,1639405,AMBUJACEM
2014-10-07T00:00:00+0530,210.0,210.7,207.15,209.5,2395090,AMBUJACEM
2014-10-08T00:00:00+0530,209.05,212.0,207.1,208.2,1416812,AMBUJACEM
2014-10-09T00:00:00+0530,209.9,216.9,209.8,215.8,1645939,AMBUJACEM
2014-10-10T00:00:00+0530,214.55,215.55,211.0,211.45,1477593,AMBUJACEM
2014-10-13T00:00:00+0530,210.55,211.8,207.15,208.85,873800,AMBUJACEM
2014-10-14T00:00:00+0530,210.1,212.6,207.5,208.15,1488939,AMBUJACEM
2014-10-16T00:00:00+0530,208.3,209.45,203.85,206.2,2404733,AMBUJACEM
2014-10-17T00:00:00+0530,206.55,209.2,204.2,207.35,1352502,AMBUJACEM
2014-10-20T00:00:00+0530,210.0,213.4,209.05,212.9,991358,AMBUJACEM
2014-10-21T00:00:00+0530,213.3,214.9,212.25,213.6,1458956,AMBUJACEM
2014-10-22T00:00:00+0530,214.5,218.0,214.5,216.9,1173083,AMBUJACEM
2014-10-23T00:00:00+0530,218.0,218.45,217.0,217.55,138187,AMBUJACEM
2014-10-27T00:00:00+0530,217.65,222.0,216.9,221.35,1848749,AMBUJACEM
2014-10-28T00:00:00+0530,221.35,226.15,221.05,224.95,1693826,AMBUJACEM
2014-10-29T00:00:00+0530,225.8,227.3,223.05,226.15,1537540,AMBUJACEM
2014-10-30T00:00:00+0530,227.3,228.35,222.7,223.7,2990018,AMBUJACEM
2014-10-31T00:00:00+0530,227.95,229.0,224.4,227.65,1778364,AMBUJACEM
2014-11-03T00:00:00+0530,228.05,229.4,226.1,227.85,1210270,AMBUJACEM
2014-11-05T00:00:00+0530,227.0,227.85,221.25,223.0,1290941,AMBUJACEM
2014-11-07T00:00:00+0530,224.0,227.7,220.8,221.95,2327935,AMBUJACEM
2014-11-10T00:00:00+0530,222.6,223.9,219.5,221.55,600992,AMBUJACEM
2014-11-11T00:00:00+0530,221.55,225.9,221.05,225.35,999460,AMBUJACEM
2014-11-12T00:00:00+0530,226.1,230.5,226.1,229.45,2822676,AMBUJACEM
2014-11-13T00:00:00+0530,230.8,231.4,223.6,226.2,948102,AMBUJACEM
2014-11-14T00:00:00+0530,226.0,230.75,224.0,230.1,1023093,AMBUJACEM
2014-11-17T00:00:00+0530,229.7,230.75,223.0,227.75,1812566,AMBUJACEM
2014-11-18T00:00:00+0530,227.05,229.75,225.45,226.6,1668001,AMBUJACEM
2014-11-19T00:00:00+0530,226.6,228.6,221.7,222.15,858316,AMBUJACEM
2014-11-20T00:00:00+0530,222.7,223.45,217.65,221.65,869797,AMBUJACEM
2014-11-21T00:00:00+0530,221.05,226.55,221.05,225.95,1399093,AMBUJACEM
2014-11-24T00:00:00+0530,225.3,230.9,225.3,230.05,2407768,AMBUJACEM
2014-11-25T00:00:00+0530,229.15,230.0,223.0,228.4,2086193,AMBUJACEM
2014-11-26T00:00:00+0530,227.15,230.4,225.25,228.8,1549824,AMBUJACEM
2014-11-27T00:00:00+0530,228.5,230.25,224.25,225.35,1140793,AMBUJACEM
2014-11-28T00:00:00+0530,225.95,232.55,224.6,229.9,2036912,AMBUJACEM
2014-12-01T00:00:00+0530,229.25,233.5,228.55,230.35,1512068,AMBUJACEM
2014-12-02T00:00:00+0530,230.0,231.15,226.05,228.5,1844672,AMBUJACEM
2014-12-03T00:00:00+0530,228.7,230.95,226.6,230.05,1735933,AMBUJACEM
2014-12-04T00:00:00+0530,230.45,231.35,227.25,230.05,1719867,AMBUJACEM
2014-12-05T00:00:00+0530,229.9,237.75,229.05,236.95,3317412,AMBUJACEM
2014-12-08T00:00:00+0530,238.25,239.7,229.3,231.5,3207123,AMBUJACEM
2014-12-09T00:00:00+0530,230.4,231.4,225.0,225.85,2361458,AMBUJACEM
