date,open,high,low,close,volume,scrip_name
2014-08-18T00:00:00+0530,385.0,393.9,384.73,388.23,3252920,AUROPHARMA
2014-08-19T00:00:00+0530,390.0,392.0,381.3,383.43,1990306,AUROPHARMA
2014-08-20T00:00:00+0530,384.8,400.5,382.2,397.9,4221936,AUROPHARMA
2014-08-21T00:00:00+0530,400.0,408.48,398.2,404.7,3755964,AUROPHARMA
2014-08-22T00:00:00+0530,406.65,409.18,401.05,405.95,2998296,AUROPHARMA
2014-08-25T00:00:00+0530,407.5,413.25,404.05,408.85,2600384,AUROPHARMA
2014-08-26T00:00:00+0530,411.0,417.15,406.57,413.77,2110398,AUROPHARMA
2014-08-27T00:00:00+0530,417.45,417.48,407.5,412.35,1473134,AUROPHARMA
2014-08-28T00:00:00+0530,412.85,414.38,406.18,408.77,3228058,AUROPHARMA
2014-09-01T00:00:00+0530,412.1,412.52,402.8,404.38,1690352,AUROPHARMA
2014-09-02T00:00:00+0530,405.65,409.15,402.62,405.77,1620662,AUROPHARMA
2014-09-03T00:00:00+0530,407.8,418.5,404.0,416.3,4327994,AUROPHARMA
2014-09-04T00:00:00+0530,418.45,423.85,412.75,416.52,3450188,AUROPHARMA
2014-09-05T00:00:00+0530,418.73,420.4,412.0,415.02,2081848,AUROPHARMA
2014-09-08T00:00:00+0530,417.9,424.65,413.2,422.52,1927528,AUROPHARMA
2014-09-09T00:00:00+0530,424.98,437.0,421.25,435.0,3553912,AUROPHARMA
2014-09-10T00:00:00+0530,436.65,442.8,432.02,439.1,2947914,AUROPHARMA
2014-09-11T00:00:00+0530,440.9,440.98,429.3,432.07,1678506,AUROPHARMA
2014-09-12T00:00:00+0530,431.5,449.38,425.0,448.07,3700376,AUROPHARMA
2014-09-15T00:00:00+0530,445.0,452.5,443.07,446.6,2091382,AUROPHARMA
2014-09-16T00:00:00+0530,446.5,454.0,422.5,426.05,3933954,AUROPHARMA
2014-09-17T00:00:00+0530,435.98,439.5,428.5,434.15,2653760,AUROPHARMA
2014-09-18T00:00:00+0530,436.3,442.98,425.73,441.75,2224442,AUROPHARMA
2014-09-19T00:00:00+0530,444.5,448.8,428.12,435.62,9391116,AUROPHARMA
2014-09-22T00:00:00+0530,434.95,435.02,423.05,426.2,3427488,AUROPHARMA
2014-09-23T00:00:00+0530,426.2,429.8,404.0,406.12,3242880,AUROPHARMA
2014-09-24T00:00:00+0530,407.5,409.45,381.5,399.57,5013886,AUROPHARMA
2014-09-25T00:00:00+0530,400.75,440.38,397.3,433.73,13925256,AUROPHARMA
2014-09-26T00:00:00+0530,436.0,443.93,431.1,440.85,3674690,AUROPHARMA
2014-09-29T00:00:00+0530,440.75,476.5,440.25,473.73,7363622,AUROPHARMA
2014-09-30T00:00:00+0530,473.82,490.35,473.27,484.12,6729548,AUROPHARMA
2014-10-01T00:00:00+0530,484.48,488.95,476.1,483.12,3422628,AUROPHARMA
2014-10-07T00:00:00+0530,482.5,501.15,480.15,498.38,4965392,AUROPHARMA
2014-10-08T00:00:00+0530,494.5,497.0,470.9,476.73,3746036,AUROPHARMA
2014-10-09T00:00:00+0530,480.02,483.4,470.12,474.48,3130468,AUROPHARMA
2014-10-10T00:00:00+0530,473.4,481.45,467.15,469.3,2931028,AUROPHARMA
2014-10-13T00:00:00+0530,470.0,477.65,461.4,470.68,3098444,AUROPHARMA
2014-10-14T00:00:00+0530,473.5,474.98,464.5,465.73,1647692,AUROPHARMA
2014-10-16T00:00:00+0530,461.5,471.1,443.1,448.93,3165418,AUROPHARMA
