date,open,high,low,close,volume,scrip_name
2017-05-15T09:15:00+0530,366.05,369.05,364.35,366.25,208105,BHARTIARTL
2017-05-15T09:30:00+0530,366.15,369.9,365.85,367.95,551453,BHARTIARTL
2017-05-15T09:45:00+0530,367.95,368.9,367.0,367.5,54491,BHARTIARTL
2017-05-15T10:00:00+0530,367.5,368.7,366.6,366.75,82375,BHARTIARTL
2017-05-15T10:15:00+0530,366.75,367.4,365.55,366.65,110214,BHARTIARTL
2017-05-15T10:30:00+0530,366.65,366.85,365.1,365.45,59583,BHARTIARTL
2017-05-15T10:45:00+0530,365.45,366.05,364.0,365.1,417807,BHARTIARTL
2017-05-15T11:00:00+0530,365.1,365.9,364.4,364.85,225432,BHARTIARTL
2017-05-15T11:15:00+0530,364.9,365.0,364.0,364.35,145821,BHARTIARTL
2017-05-15T11:30:00+0530,364.35,365.35,364.0,364.7,296555,BHARTIARTL
2017-05-15T11:45:00+0530,364.7,365.0,362.65,363.2,171073,BHARTIARTL
2017-05-15T12:00:00+0530,363.25,364.25,363.0,364.1,105677,BHARTIARTL
2017-05-15T12:15:00+0530,364.1,364.35,363.25,363.8,104134,BHARTIARTL
2017-05-15T12:30:00+0530,363.6,364.25,363.35,363.7,52927,BHARTIARTL
2017-05-15T12:45:00+0530,363.7,364.0,363.3,363.7,51731,BHARTIARTL
2017-05-15T13:00:00+0530,363.7,363.7,361.4,362.75,115076,BHARTIARTL
2017-05-15T13:15:00+0530,362.75,364.5,362.15,364.0,61462,BHARTIARTL
2017-05-15T13:30:00+0530,364.0,364.95,363.05,364.75,52908,BHARTIARTL
2017-05-15T13:45:00+0530,364.75,364.75,363.5,364.15,65114,BHARTIARTL
2017-05-15T14:00:00+0530,364.2,364.25,363.65,363.9,90701,BHARTIARTL
2017-05-15T14:15:00+0530,363.85,364.0,363.5,363.85,47819,BHARTIARTL
2017-05-15T14:30:00+0530,363.85,364.0,363.3,363.75,70084,BHARTIARTL
2017-05-15T14:45:00+0530,363.75,365.45,362.9,364.75,119747,BHARTIARTL
2017-05-15T15:00:00+0530,364.75,364.95,363.7,363.95,154592,BHARTIARTL
2017-05-15T15:15:00+0530,363.95,365.7,363.5,364.0,531795,BHARTIARTL
2017-05-16T09:15:00+0530,365.9,376.95,365.45,375.2,929210,BHARTIARTL
2017-05-16T09:30:00+0530,375.35,375.4,373.25,374.05,395346,BHARTIARTL
2017-05-16T09:45:00+0530,374.2,375.0,373.95,374.4,217293,BHARTIARTL
2017-05-16T10:00:00+0530,374.55,375.2,374.2,374.7,245535,BHARTIARTL
2017-05-16T10:15:00+0530,374.8,375.15,374.5,374.9,158165,BHARTIARTL
2017-05-16T10:30:00+0530,374.85,375.2,374.0,374.75,197070,BHARTIARTL
2017-05-16T10:45:00+0530,374.75,375.1,374.5,375.0,94135,BHARTIARTL
2017-05-16T11:00:00+0530,375.0,375.15,374.0,374.75,145155,BHARTIARTL
2017-05-16T11:15:00+0530,374.8,376.25,374.3,374.85,441703,BHARTIARTL
2017-05-16T11:30:00+0530,374.9,375.0,374.25,374.75,98939,BHARTIARTL
2017-05-16T11:45:00+0530,374.8,374.95,374.5,374.65,141043,BHARTIARTL
2017-05-16T12:00:00+0530,374.65,374.8,374.55,374.75,120475,BHARTIARTL
2017-05-16T12:15:00+0530,374.75,374.8,374.5,374.7,175820,BHARTIARTL
