date,open,high,low,close,volume,scrip_name
2017-05-15T09:15:00+0530,272.32,275.91,271.09,274.77,4780596,ICICIBANK
2017-05-15T10:15:00+0530,274.77,274.82,273.18,274.27,2366645,ICICIBANK
2017-05-15T11:15:00+0530,274.32,275.27,274.18,275.0,1620437,ICICIBANK
2017-05-15T12:15:00+0530,275.0,275.73,274.23,274.45,1904016,ICICIBANK
2017-05-15T13:15:00+0530,274.45,275.32,274.0,275.0,1468441,ICICIBANK
2017-05-15T14:15:00+0530,275.0,275.18,274.45,274.64,2514490,ICICIBANK
2017-05-15T15:15:00+0530,274.64,275.23,273.5,273.82,2406869,ICICIBANK
2017-05-16T09:15:00+0530,275.32,278.09,274.77,275.27,5643744,ICICIBANK
2017-05-16T10:15:00+0530,275.32,275.32,273.68,275.09,3380720,ICICIBANK
2017-05-16T11:15:00+0530,275.14,275.68,274.86,275.18,1473539,ICICIBANK
2017-05-16T12:15:00+0530,275.18,275.73,274.95,275.45,1741010,ICICIBANK
2017-05-16T13:15:00+0530,275.45,275.86,275.14,275.73,2486736,ICICIBANK
2017-05-16T14:15:00+0530,275.73,275.73,274.68,275.23,3463123,ICICIBANK
2017-05-16T15:15:00+0530,275.23,275.45,274.91,275.41,1349657,ICICIBANK
2017-05-17T09:15:00+0530,277.82,279.86,276.86,279.45,4548675,ICICIBANK
2017-05-17T10:15:00+0530,279.45,280.73,279.05,279.23,3930320,ICICIBANK
2017-05-17T11:15:00+0530,279.23,279.86,278.82,279.23,1209020,ICICIBANK
2017-05-17T12:15:00+0530,279.18,281.09,278.18,281.0,3511615,ICICIBANK
2017-05-17T13:15:00+0530,281.14,281.32,280.32,280.86,3480824,ICICIBANK
2017-05-17T14:15:00+0530,280.86,281.82,280.18,281.68,4529790,ICICIBANK
2017-05-17T15:15:00+0530,281.68,281.95,280.82,281.36,2110242,ICICIBANK
2017-05-18T09:15:00+0530,277.45,280.0,277.0,278.68,5003034,ICICIBANK
2017-05-18T10:15:00+0530,278.68,279.09,277.91,278.95,2974432,ICICIBANK
2017-05-18T11:15:00+0530,278.95,280.64,278.64,280.0,2652887,ICICIBANK
2017-05-18T12:15:00+0530,279.95,282.64,279.32,281.45,3169950,ICICIBANK
2017-05-18T13:15:00+0530,281.45,284.36,281.05,283.14,5040978,ICICIBANK
2017-05-18T14:15:00+0530,283.18,283.41,279.09,280.5,7072923,ICICIBANK
2017-05-18T15:15:00+0530,280.5,280.73,279.27,279.55,1784234,ICICIBANK
2017-05-19T09:15:00+0530,279.95,284.0,279.77,282.18,3748327,ICICIBANK
2017-05-19T10:15:00+0530,282.18,282.64,281.09,281.18,1874090,ICICIBANK
2017-05-19T11:15:00+0530,281.18,281.41,276.14,277.55,3942993,ICICIBANK
2017-05-19T12:15:00+0530,277.5,279.82,277.05,278.0,1977619,ICICIBANK
2017-05-19T13:15:00+0530,278.05,281.18,277.73,280.55,2161261,ICICIBANK
2017-05-19T14:15:00+0530,280.55,280.86,278.55,279.09,2033473,ICICIBANK
2017-05-19T15:15:00+0530,279.09,279.91,278.68,279.18,956463,ICICIBANK
2017-05-22T09:15:00+0530,281.64,283.23,277.5,280.0,2667123,ICICIBANK
2017-05-22T10:15:00+0530,280.0,280.55,278.5,279.32,1658841,ICICIBANK
2017-05-22T11:15:00+0530,279.32,280.41,279.32,280.0,1470268,ICICIBANK
2017-05-22T12:15:00+0530,280.0,280.27,278.86,279.0,1330583,ICICIBANK
2017-05-22T13:15:00+0530,279.0,279.91,278.55,279.14,1621536,ICICIBANK
2017-05-22T14:15:00+0530,279.18,279.5,276.77,276.82,2668884,ICICIBANK
2017-05-22T15:15:00+0530,276.77,277.05,274.82,275.41,3415263,ICICIBANK
2017-05-23T09:15:00+0530,275.73,279.36,275.27,278.77,5849024,ICICIBANK
2017-05-23T10:15:00+0530,278.82,281.55,277.95,278.86,4952939,ICICIBANK
2017-05-23T11:15:00+0530,278.91,279.23,278.32,278.64,3046217,ICICIBANK
2017-05-23T12:15:00+0530,278.64,279.09,277.14,278.5,2942732,ICICIBANK
2017-05-23T13:15:00+0530,278.45,280.23,278.0,279.23,2698483,ICICIBANK
2017-05-23T14:15:00+0530,279.23,280.0,277.59,278.36,6209120,ICICIBANK
2017-05-23T15:15:00+0530,278.36,278.91,277.59,278.27,4042505,ICICIBANK
2017-05-24T09:15:00+0530,278.77,280.23,277.5,278.14,3157517,ICICIBANK
2017-05-24T10:15:00+0530,278.23,278.95,277.91,278.55,2000603,ICICIBANK
2017-05-24T11:15:00+0530,278.55,279.55,278.32,279.36,2029572,ICICIBANK
2017-05-24T12:15:00+0530,279.36,281.5,278.27,279.27,2966655,ICICIBANK
2017-05-24T13:15:00+0530,279.32,279.59,275.73,276.14,3884617,ICICIBANK
2017-05-24T14:15:00+0530,276.18,279.09,276.18,279.0,4800383,ICICIBANK
2017-05-24T15:15:00+0530,279.05,279.36,278.32,278.82,1631338,ICICIBANK
2017-05-25T09:15:00+0530,279.23,281.73,278.23,281.27,3928090,ICICIBANK
2017-05-25T10:15:00+0530,281.32,283.95,280.86,282.82,2770501,ICICIBANK
2017-05-25T11:15:00+0530,282.82,284.23,281.91,283.59,3205354,ICICIBANK
2017-05-25T12:15:00+0530,283.59,286.32,283.59,286.23,5068219,ICICIBANK
2017-05-25T13:15:00+0530,286.23,289.09,286.23,287.45,8749889,ICICIBANK
2017-05-25T14:15:00+0530,287.45,290.68,286.77,289.64,12305834,ICICIBANK
2017-05-25T15:15:00+0530,289.73,290.0,287.05,288.18,5698933,ICICIBANK
2017-05-26T09:15:00+0530,288.18,292.45,287.59,290.59,6726395,ICICIBANK
2017-05-26T10:15:00+0530,290.59,291.73,289.32,291.64,2932828,ICICIBANK
2017-05-26T11:15:00+0530,291.64,292.73,290.55,291.36,2858604,ICICIBANK
2017-05-26T12:15:00+0530,291.32,292.0,290.86,291.27,1592952,ICICIBANK
2017-05-26T13:15:00+0530,291.27,292.05,290.68,290.77,2638016,ICICIBANK
2017-05-26T14:15:00+0530,290.77,292.77,290.36,292.68,2658750,ICICIBANK
