date,open,high,low,close,volume,scrip_name
2014-08-18T00:00:00+0530,267.55,271.65,266.05,269.35,1271382,INFRATEL
2014-08-19T00:00:00+0530,269.0,272.8,261.0,264.7,2514322,INFRATEL
2014-08-20T00:00:00+0530,265.8,266.7,258.2,262.05,1699046,INFRATEL
2014-08-21T00:00:00+0530,262.0,270.5,258.5,264.75,10947266,INFRATEL
2014-08-22T00:00:00+0530,262.0,267.0,252.6,255.15,418009,INFRATEL
2014-08-25T00:00:00+0530,260.0,262.8,253.3,260.7,1236200,INFRATEL
2014-08-26T00:00:00+0530,259.0,264.25,252.1,253.7,639500,INFRATEL
2014-08-27T00:00:00+0530,254.6,257.6,250.2,254.8,613875,INFRATEL
2014-08-28T00:00:00+0530,254.75,265.6,254.2,263.55,365100,INFRATEL
2014-09-01T00:00:00+0530,263.05,270.0,263.05,269.05,622721,INFRATEL
2014-09-02T00:00:00+0530,270.0,278.6,267.55,273.25,993185,INFRATEL
2014-09-03T00:00:00+0530,275.0,281.6,275.0,279.45,1061336,INFRATEL
2014-09-04T00:00:00+0530,280.0,291.4,276.25,285.1,913899,INFRATEL
2014-09-05T00:00:00+0530,289.0,291.0,278.0,280.3,1105121,INFRATEL
2014-09-08T00:00:00+0530,280.3,301.1,267.8,296.2,2413406,INFRATEL
2014-09-09T00:00:00+0530,302.0,305.8,281.25,293.95,2514986,INFRATEL
2014-09-10T00:00:00+0530,291.05,292.0,282.1,284.4,1165719,INFRATEL
2014-09-11T00:00:00+0530,284.0,287.4,276.3,281.9,600986,INFRATEL
2014-09-12T00:00:00+0530,282.1,286.05,278.85,281.85,3335827,INFRATEL
2014-09-15T00:00:00+0530,280.0,299.0,276.0,297.15,1821824,INFRATEL
2014-09-16T00:00:00+0530,298.5,306.3,287.05,297.65,1662257,INFRATEL
2014-09-17T00:00:00+0530,299.95,314.8,290.15,309.7,1685294,INFRATEL
2014-09-18T00:00:00+0530,310.0,322.0,302.8,315.85,2245778,INFRATEL
2014-09-19T00:00:00+0530,314.55,319.5,296.1,312.6,2821898,INFRATEL
2014-09-22T00:00:00+0530,310.05,310.2,290.2,293.95,2947500,INFRATEL
2014-09-23T00:00:00+0530,293.0,296.0,285.0,287.3,640677,INFRATEL
2014-09-24T00:00:00+0530,283.1,300.45,281.0,283.7,826989,INFRATEL
2014-09-25T00:00:00+0530,288.3,304.8,286.55,300.1,1045878,INFRATEL
2014-09-26T00:00:00+0530,295.05,298.75,286.5,291.05,578797,INFRATEL
2014-09-29T00:00:00+0530,292.5,302.8,292.0,298.2,1446284,INFRATEL
2014-09-30T00:00:00+0530,293.85,304.9,289.0,294.75,1247644,INFRATEL
2014-10-01T00:00:00+0530,295.15,300.0,275.25,280.6,2392171,INFRATEL
2014-10-07T00:00:00+0530,282.3,299.7,279.5,288.55,1360231,INFRATEL
2014-10-08T00:00:00+0530,287.1,294.7,287.05,289.55,834600,INFRATEL
