date,open,high,low,close,volume,scrip_name
2014-08-18T00:00:00+0530,903.0,903.0,887.5,889.95,3388944,INFY
2014-08-19T00:00:00+0530,890.25,897.25,882.5,886.95,3212412,INFY
2014-08-20T00:00:00+0530,890.75,895.62,886.75,888.64,1969112,INFY
2014-08-21T00:00:00+0530,889.06,890.85,882.5,887.24,2149440,INFY
2014-08-22T00:00:00+0530,887.24,902.0,887.0,900.25,2427520,INFY
2014-08-25T00:00:00+0530,899.75,908.92,890.51,906.95,2099176,INFY
2014-08-26T00:00:00+0530,905.5,910.0,900.0,906.04,2921064,INFY
2014-08-27T00:00:00+0530,907.5,912.5,900.27,907.64,2784936,INFY
2014-08-28T00:00:00+0530,907.25,908.41,895.3,899.7,3799652,INFY
2014-09-01T00:00:00+0530,902.51,904.73,896.25,899.91,1821576,INFY
2014-09-02T00:00:00+0530,900.0,906.25,888.89,903.44,1791916,INFY
2014-09-03T00:00:00+0530,902.5,936.6,902.5,933.56,5928780,INFY
2014-09-04T00:00:00+0530,931.25,931.25,924.46,927.19,3119232,INFY
2014-09-05T00:00:00+0530,933.0,948.75,926.34,932.69,3234176,INFY
2014-09-08T00:00:00+0530,933.17,947.62,933.17,945.41,3258648,INFY
2014-09-09T00:00:00+0530,937.0,938.86,930.0,934.01,2158400,INFY
2014-09-10T00:00:00+0530,927.0,927.0,915.0,916.83,2540376,INFY
2014-09-11T00:00:00+0530,918.5,924.92,907.65,921.04,2506516,INFY
2014-09-12T00:00:00+0530,922.0,927.0,912.5,917.48,1953776,INFY
2014-09-15T00:00:00+0530,916.25,917.0,906.83,910.33,2479400,INFY
2014-09-16T00:00:00+0530,911.5,922.62,905.9,912.81,2517452,INFY
2014-09-17T00:00:00+0530,919.98,937.02,917.77,935.26,3963060,INFY
2014-09-18T00:00:00+0530,918.49,932.42,913.61,924.25,4552388,INFY
2014-09-19T00:00:00+0530,924.75,946.98,920.33,925.51,7377508,INFY
2014-09-22T00:00:00+0530,920.0,920.69,908.0,912.65,4306020,INFY
2014-09-23T00:00:00+0530,911.25,920.86,898.89,901.77,6481152,INFY
2014-09-24T00:00:00+0530,907.5,918.06,899.56,911.2,2782280,INFY
2014-09-25T00:00:00+0530,912.5,929.7,911.5,922.75,12487756,INFY
2014-09-26T00:00:00+0530,921.25,930.06,915.12,920.04,4432420,INFY
2014-09-29T00:00:00+0530,925.25,940.24,920.27,937.26,2498072,INFY
2014-09-30T00:00:00+0530,936.05,939.08,925.27,936.94,3463684,INFY
2014-10-01T00:00:00+0530,930.5,964.99,930.5,961.83,4735432,INFY
2014-10-07T00:00:00+0530,942.33,973.24,942.33,957.83,10031728,INFY
2014-10-08T00:00:00+0530,946.25,948.0,910.25,912.54,10163840,INFY
2014-10-09T00:00:00+0530,925.0,928.5,906.48,911.7,6216416,INFY
2014-10-10T00:00:00+0530,915.0,977.0,893.17,972.16,22946528,INFY
2014-10-13T00:00:00+0530,972.33,996.25,972.33,985.64,8863492,INFY
2014-10-14T00:00:00+0530,991.25,991.25,975.0,979.58,3430256,INFY
2014-10-16T00:00:00+0530,975.02,984.58,963.59,966.33,5008696,INFY
2014-10-17T00:00:00+0530,966.23,980.7,959.27,962.91,4095008,INFY
2014-10-20T00:00:00+0530,963.25,965.64,950.52,953.09,3851360,INFY
2014-10-21T00:00:00+0530,962.48,962.48,927.5,943.24,13040692,INFY
2014-10-22T00:00:00+0530,952.33,952.98,944.05,949.01,2676660,INFY
2014-10-23T00:00:00+0530,951.21,953.36,949.29,951.26,325212,INFY
2014-10-27T00:00:00+0530,962.5,962.5,945.55,950.76,2383876,INFY
2014-10-28T00:00:00+0530,941.25,953.09,941.25,947.06,3333184,INFY
2014-10-29T00:00:00+0530,953.24,973.17,953.24,970.36,4114668,INFY
2014-10-30T00:00:00+0530,974.0,995.31,974.0,986.64,7622604,INFY
