date,open,high,low,close,volume,scrip_name
2014-08-18T00:00:00+0530,235.08,235.35,229.75,232.47,6957293,ITC
2014-08-19T00:00:00+0530,232.7,233.59,230.28,231.11,7754099,ITC
2014-08-20T00:00:00+0530,232.7,232.7,227.99,228.69,6836212,ITC
2014-08-21T00:00:00+0530,228.69,230.71,228.22,229.48,6004457,ITC
2014-08-22T00:00:00+0530,229.55,230.61,226.43,227.82,6859712,ITC
2014-08-25T00:00:00+0530,229.85,232.03,227.79,231.57,4054655,ITC
2014-08-26T00:00:00+0530,232.0,234.55,231.74,233.66,5938161,ITC
2014-08-27T00:00:00+0530,234.45,235.28,232.93,233.59,7142175,ITC
2014-08-28T00:00:00+0530,233.36,236.68,233.26,235.55,12613726,ITC
2014-09-01T00:00:00+0530,237.34,237.34,231.8,232.4,7068479,ITC
2014-09-02T00:00:00+0530,232.37,236.15,231.37,235.15,7335486,ITC
2014-09-03T00:00:00+0530,235.55,235.81,230.91,231.31,9825793,ITC
2014-09-04T00:00:00+0530,231.77,233.92,231.44,232.3,8789430,ITC
2014-09-05T00:00:00+0530,232.43,233.36,230.94,232.57,7310417,ITC
2014-09-08T00:00:00+0530,234.02,235.35,232.2,234.65,6320083,ITC
2014-09-09T00:00:00+0530,232.7,238.4,232.7,237.47,5794234,ITC
2014-09-10T00:00:00+0530,236.68,236.68,232.53,232.73,10109718,ITC
2014-09-11T00:00:00+0530,232.73,233.99,231.7,232.83,8812386,ITC
2014-09-12T00:00:00+0530,232.83,237.31,232.8,235.78,8148618,ITC
2014-09-15T00:00:00+0530,234.98,235.35,232.03,233.16,6346990,ITC
2014-09-16T00:00:00+0530,233.1,235.55,232.03,234.12,7795106,ITC
2014-09-17T00:00:00+0530,234.36,237.67,233.23,235.18,9334300,ITC
2014-09-18T00:00:00+0530,235.42,238.0,234.16,237.8,6350018,ITC
2014-09-19T00:00:00+0530,237.34,239.19,234.82,238.27,8325954,ITC
2014-09-22T00:00:00+0530,238.0,246.62,236.94,245.79,12629144,ITC
2014-09-23T00:00:00+0530,245.29,248.54,243.84,245.82,13675446,ITC
2014-09-24T00:00:00+0530,245.69,251.26,245.56,250.07,10118615,ITC
2014-09-25T00:00:00+0530,250.27,251.86,246.82,249.7,13116534,ITC
2014-09-26T00:00:00+0530,248.31,249.57,244.37,246.42,10181724,ITC
2014-09-29T00:00:00+0530,245.76,247.22,241.65,242.71,3012728,ITC
2014-09-30T00:00:00+0530,241.58,246.88,240.65,245.43,9817181,ITC
2014-10-01T00:00:00+0530,245.29,245.29,240.89,241.38,3939644,ITC
2014-10-07T00:00:00+0530,240.45,242.91,237.4,240.49,9716905,ITC
2014-10-08T00:00:00+0530,240.65,243.93,240.16,242.44,8339845,ITC
2014-10-09T00:00:00+0530,242.68,244.17,241.22,242.31,5978506,ITC
2014-10-10T00:00:00+0530,241.71,242.18,233.59,234.09,5166787,ITC
2014-10-13T00:00:00+0530,233.96,233.96,230.18,232.4,5505444,ITC
2014-10-14T00:00:00+0530,232.4,233.36,227.73,230.05,7805028,ITC
2014-10-16T00:00:00+0530,228.72,234.36,227.69,233.66,12754616,ITC
2014-10-17T00:00:00+0530,233.29,238.6,232.93,234.65,11275140,ITC
2014-10-20T00:00:00+0530,235.35,237.24,232.57,233.36,8036827,ITC
2014-10-21T00:00:00+0530,233.43,233.96,230.71,232.93,6476903,ITC
2014-10-22T00:00:00+0530,233.66,234.02,231.04,231.37,8138407,ITC
2014-10-23T00:00:00+0530,232.1,232.9,231.47,232.3,703907,ITC
2014-10-27T00:00:00+0530,232.86,232.96,230.71,231.74,5609770,ITC
2014-10-28T00:00:00+0530,232.86,233.23,231.27,232.13,4912703,ITC
2014-10-29T00:00:00+0530,233.96,235.35,232.23,234.98,6893189,ITC
2014-10-30T00:00:00+0530,234.09,237.17,233.03,235.28,14854645,ITC
2014-10-31T00:00:00+0530,236.58,238.66,233.53,235.48,14774251,ITC
2014-11-03T00:00:00+0530,236.61,237.11,234.16,235.65,7441368,ITC
2014-11-05T00:00:00+0530,235.81,238.53,235.68,238.1,7591856,ITC
2014-11-07T00:00:00+0530,237.57,239.0,234.02,235.78,9335210,ITC
2014-11-10T00:00:00+0530,236.01,246.95,235.81,246.42,23584351,ITC
2014-11-11T00:00:00+0530,245.49,246.75,240.35,241.38,7215483,ITC
2014-11-12T00:00:00+0530,241.48,245.29,241.42,244.96,6646198,ITC
2014-11-13T00:00:00+0530,245.86,245.86,242.87,244.2,4851966,ITC
2014-11-14T00:00:00+0530,244.03,245.72,243.54,244.76,7479950,ITC
2014-11-17T00:00:00+0530,244.63,246.26,241.71,245.43,5988076,ITC
2014-11-18T00:00:00+0530,244.8,246.42,243.64,245.46,9536711,ITC
2014-11-19T00:00:00+0530,245.46,250.1,243.04,243.87,12718907,ITC
2014-11-20T00:00:00+0530,244.63,246.22,244.03,245.33,5063121,ITC
2014-11-21T00:00:00+0530,245.39,249.74,245.0,249.37,6646483,ITC
2014-11-24T00:00:00+0530,246.62,249.24,246.62,248.58,8574394,ITC
2014-11-25T00:00:00+0530,248.08,251.13,231.14,235.61,25213140,ITC
2014-11-26T00:00:00+0530,237.67,242.84,237.4,240.92,21441614,ITC
2014-11-27T00:00:00+0530,240.09,240.95,235.52,239.06,15975541,ITC
2014-11-28T00:00:00+0530,239.06,242.64,238.66,240.75,10463490,ITC
2014-12-01T00:00:00+0530,240.09,243.27,240.09,241.71,8216881,ITC
2014-12-02T00:00:00+0530,241.58,243.24,241.05,242.51,8593434,ITC
2014-12-03T00:00:00+0530,242.64,242.64,236.74,240.82,7861826,ITC
2014-12-04T00:00:00+0530,247.32,254.58,247.32,254.01,26675338,ITC
2014-12-05T00:00:00+0530,253.91,259.88,253.68,259.45,16281645,ITC
2014-12-08T00:00:00+0530,260.67,264.98,260.08,263.72,15081607,ITC
2014-12-09T00:00:00+0530,264.19,265.18,259.75,261.44,13880760,ITC
2014-12-10T00:00:00+0530,262.36,262.86,256.13,261.87,9291812,ITC
2014-12-11T00:00:00+0530,261.87,264.49,258.88,262.93,10808724,ITC
2014-12-12T00:00:00+0530,262.53,265.38,260.54,262.33,8706592,ITC
2014-12-15T00:00:00+0530,261.87,264.98,259.51,260.24,8571774,ITC
2014-12-16T00:00:00+0530,257.89,258.55,250.53,252.32,13550537,ITC
2014-12-17T00:00:00+0530,250.3,255.04,243.04,246.49,15643604,ITC
2014-12-18T00:00:00+0530,250.93,250.93,241.98,248.51,6259339,ITC
2014-12-19T00:00:00+0530,249.24,249.24,243.64,244.5,9425558,ITC
2014-12-22T00:00:00+0530,245.03,250.73,244.63,248.01,16791747,ITC
2014-12-23T00:00:00+0530,247.91,250.27,247.15,248.38,5067313,ITC
2014-12-24T00:00:00+0530,248.28,250.9,243.47,246.22,20624697,ITC
2014-12-26T00:00:00+0530,247.22,247.22,242.91,243.93,2913865,ITC
2014-12-29T00:00:00+0530,243.37,246.26,243.3,245.19,3306203,ITC
2014-12-30T00:00:00+0530,245.46,246.26,243.5,244.17,3161437,ITC
2014-12-31T00:00:00+0530,244.6,245.69,243.64,244.43,3682547,ITC
2015-01-01T00:00:00+0530,245.07,245.93,244.0,244.77,2538978,ITC
2015-01-02T00:00:00+0530,244.83,246.77,244.83,245.53,6599676,ITC
2015-01-05T00:00:00+0530,245.8,247.87,245.03,246.5,8238987,ITC
2015-01-06T00:00:00+0530,245.77,246.27,239.33,240.17,13093040,ITC
2015-01-07T00:00:00+0530,238.0,242.67,235.33,235.7,11960580,ITC
2015-01-08T00:00:00+0530,236.97,242.23,236.97,241.6,8449164,ITC
2015-01-09T00:00:00+0530,242.07,243.9,235.4,237.93,10808513,ITC
2015-01-12T00:00:00+0530,238.3,240.9,237.4,238.57,9868950,ITC
2015-01-13T00:00:00+0530,238.93,241.13,238.2,240.07,11623503,ITC
2015-01-14T00:00:00+0530,239.8,239.8,230.73,231.87,16224852,ITC
2015-01-15T00:00:00+0530,235.4,239.93,233.93,238.6,16047717,ITC
2015-01-16T00:00:00+0530,238.97,241.3,236.23,240.07,10813589,ITC
2015-01-19T00:00:00+0530,240.0,241.17,237.33,239.2,6853235,ITC
2015-01-20T00:00:00+0530,239.4,247.9,238.73,247.4,12014673,ITC
2015-01-21T00:00:00+0530,248.63,248.63,232.8,235.13,32448215,ITC
2015-01-22T00:00:00+0530,235.33,239.87,232.57,233.77,29627576,ITC
2015-01-23T00:00:00+0530,235.63,237.3,232.53,232.97,16747499,ITC
2015-01-27T00:00:00+0530,233.33,240.67,232.9,240.1,25255862,ITC
2015-01-28T00:00:00+0530,240.0,242.3,238.37,241.53,12317799,ITC
2015-01-29T00:00:00+0530,242.0,248.0,240.0,246.8,21093768,ITC
2015-01-30T00:00:00+0530,246.67,248.0,242.43,245.7,13917158,ITC
2015-02-02T00:00:00+0530,244.67,246.13,239.6,240.43,8493861,ITC
2015-02-03T00:00:00+0530,240.97,244.67,240.97,244.03,6298908,ITC
2015-02-04T00:00:00+0530,245.0,247.0,243.57,245.07,5807210,ITC
2015-02-05T00:00:00+0530,243.93,248.07,242.47,245.93,9478187,ITC
2015-02-06T00:00:00+0530,244.07,249.6,244.07,249.0,7324875,ITC
2015-02-09T00:00:00+0530,247.43,249.23,244.47,245.27,7188008,ITC
2015-02-10T00:00:00+0530,245.4,248.0,244.6,246.6,8011749,ITC
2015-02-11T00:00:00+0530,247.37,248.6,245.23,247.43,4545473,ITC
2015-02-12T00:00:00+0530,248.0,248.0,243.1,246.93,5294225,ITC
2015-02-13T00:00:00+0530,247.47,252.83,246.7,252.03,9026030,ITC
2015-02-16T00:00:00+0530,252.27,260.67,252.0,259.73,11606474,ITC
2015-02-18T00:00:00+0530,256.67,268.0,256.67,262.17,13669322,ITC
2015-02-19T00:00:00+0530,261.97,262.47,255.73,259.5,6980186,ITC
2015-02-20T00:00:00+0530,258.33,265.27,256.23,264.03,8931408,ITC
2015-02-23T00:00:00+0530,263.33,265.87,259.5,260.17,5852228,ITC
2015-02-24T00:00:00+0530,261.33,265.33,259.1,263.8,8238782,ITC
2015-02-25T00:00:00+0530,265.07,266.67,262.3,266.47,15751802,ITC
2015-02-26T00:00:00+0530,265.27,267.6,261.3,263.77,11702547,ITC
2015-02-27T00:00:00+0530,263.2,264.43,256.03,262.47,34417139,ITC
2015-03-02T00:00:00+0530,238.67,238.67,228.0,228.83,50722677,ITC
2015-03-03T00:00:00+0530,229.0,230.33,226.0,227.7,44994020,ITC
2015-03-04T00:00:00+0530,230.0,233.87,228.6,229.5,32171963,ITC
2015-03-05T00:00:00+0530,231.33,232.73,227.8,230.83,20499398,ITC
2015-03-09T00:00:00+0530,229.13,229.93,224.83,225.57,16301916,ITC
2015-03-10T00:00:00+0530,226.67,228.47,223.4,225.7,13036884,ITC
2015-03-11T00:00:00+0530,226.9,227.13,225.03,225.47,12702704,ITC
2015-03-12T00:00:00+0530,226.03,232.17,225.87,231.1,27323129,ITC
2015-03-13T00:00:00+0530,232.2,233.33,224.47,226.27,15651522,ITC
2015-03-16T00:00:00+0530,227.33,227.73,223.33,223.6,8595248,ITC
2015-03-17T00:00:00+0530,226.33,227.1,224.17,226.67,10940511,ITC
2015-03-18T00:00:00+0530,227.5,227.5,224.0,224.43,8757089,ITC
2015-03-19T00:00:00+0530,225.67,227.23,221.0,222.23,10462350,ITC
2015-03-20T00:00:00+0530,222.47,222.47,217.59,218.3,10572912,ITC
2015-03-23T00:00:00+0530,217.57,219.87,216.67,218.26,11393547,ITC
2015-03-24T00:00:00+0530,218.07,219.87,217.33,217.7,10715486,ITC
2015-03-25T00:00:00+0530,219.1,219.1,217.33,217.83,7249757,ITC
2015-03-26T00:00:00+0530,217.33,219.3,213.73,214.93,24193097,ITC
2015-03-27T00:00:00+0530,216.0,216.83,210.07,211.67,21403253,ITC
2015-03-30T00:00:00+0530,213.09,219.67,213.09,218.37,16516767,ITC
2015-03-31T00:00:00+0530,219.2,219.2,216.0,217.23,12279566,ITC
2015-04-01T00:00:00+0530,217.23,222.0,216.09,221.63,10839779,ITC
2015-04-06T00:00:00+0530,219.57,227.77,219.4,227.33,19315928,ITC
2015-04-07T00:00:00+0530,227.4,228.67,224.67,227.07,10549575,ITC
2015-04-08T00:00:00+0530,228.0,231.3,227.67,230.83,12381639,ITC
2015-04-09T00:00:00+0530,231.27,232.63,229.33,231.43,7667537,ITC
2015-04-10T00:00:00+0530,231.33,231.73,228.17,231.1,5593371,ITC
2015-04-13T00:00:00+0530,231.33,234.93,229.9,234.33,10891653,ITC
2015-04-15T00:00:00+0530,236.0,239.07,234.27,236.63,17492244,ITC
2015-04-16T00:00:00+0530,235.23,237.6,231.1,233.4,7865738,ITC
2015-04-17T00:00:00+0530,233.67,235.5,231.8,234.57,8807339,ITC
2015-04-20T00:00:00+0530,234.73,234.73,227.07,227.93,11275532,ITC
2015-04-21T00:00:00+0530,227.9,232.47,227.33,227.97,10890329,ITC
2015-04-22T00:00:00+0530,226.67,230.0,225.7,228.93,10768515,ITC
2015-04-23T00:00:00+0530,228.93,231.0,225.53,228.07,8924630,ITC
2015-04-24T00:00:00+0530,228.0,233.3,227.43,231.97,17318819,ITC
2015-04-27T00:00:00+0530,232.6,234.53,229.47,229.9,9371889,ITC
2015-04-28T00:00:00+0530,229.93,230.0,222.4,225.03,10686608,ITC
2015-04-29T00:00:00+0530,223.37,224.0,218.2,218.77,10091042,ITC
2015-04-30T00:00:00+0530,218.53,218.93,214.13,214.9,20037666,ITC
2015-05-04T00:00:00+0530,215.59,220.6,213.4,220.13,7209372,ITC
2015-05-05T00:00:00+0530,219.07,219.33,215.73,217.5,13458044,ITC
2015-05-06T00:00:00+0530,217.33,218.57,210.8,212.23,20211861,ITC
2015-05-07T00:00:00+0530,212.33,215.8,210.4,215.03,10601880,ITC
