date,open,high,low,close,volume,scrip_name
2014-08-18T00:00:00+0530,475.0,487.23,472.52,483.43,1291464,KOTAKBANK
2014-08-19T00:00:00+0530,485.0,493.0,483.07,490.32,2415916,KOTAKBANK
2014-08-20T00:00:00+0530,492.0,501.1,487.5,500.0,2558978,KOTAKBANK
2014-08-21T00:00:00+0530,498.77,514.0,498.77,509.3,3645984,KOTAKBANK
2014-08-22T00:00:00+0530,510.0,517.45,509.4,515.38,2905658,KOTAKBANK
2014-08-25T00:00:00+0530,515.38,527.2,512.77,522.33,1056736,KOTAKBANK
2014-08-26T00:00:00+0530,522.33,529.8,520.05,527.05,1920910,KOTAKBANK
2014-08-27T00:00:00+0530,528.05,529.98,515.3,520.0,2462340,KOTAKBANK
2014-08-28T00:00:00+0530,522.0,524.7,516.48,518.77,2969756,KOTAKBANK
2014-09-01T00:00:00+0530,521.25,527.25,520.98,523.98,909600,KOTAKBANK
2014-09-02T00:00:00+0530,524.0,530.98,517.55,529.12,966530,KOTAKBANK
2014-09-03T00:00:00+0530,533.35,533.35,524.08,528.45,1141174,KOTAKBANK
2014-09-04T00:00:00+0530,527.0,532.85,523.0,529.4,1333208,KOTAKBANK
2014-09-05T00:00:00+0530,529.0,542.92,527.1,539.23,1267196,KOTAKBANK
2014-09-08T00:00:00+0530,539.98,542.77,530.55,538.25,1004420,KOTAKBANK
2014-09-09T00:00:00+0530,537.75,543.3,535.0,536.65,651704,KOTAKBANK
2014-09-10T00:00:00+0530,535.0,536.83,530.05,532.48,1323132,KOTAKBANK
2014-09-11T00:00:00+0530,531.5,536.75,528.95,532.42,1881974,KOTAKBANK
2014-09-12T00:00:00+0530,529.0,536.02,528.5,534.58,2202308,KOTAKBANK
2014-09-15T00:00:00+0530,532.5,533.0,521.2,523.05,1724612,KOTAKBANK
2014-09-16T00:00:00+0530,525.25,527.1,512.08,513.73,1278998,KOTAKBANK
2014-09-17T00:00:00+0530,515.0,517.55,510.0,510.98,1104756,KOTAKBANK
2014-09-18T00:00:00+0530,509.4,525.45,509.4,523.85,836968,KOTAKBANK
2014-09-19T00:00:00+0530,523.5,534.5,523.0,531.83,2332128,KOTAKBANK
2014-09-22T00:00:00+0530,528.0,530.0,517.5,521.92,1043036,KOTAKBANK
2014-09-23T00:00:00+0530,521.0,526.92,514.38,520.58,1199808,KOTAKBANK
2014-09-24T00:00:00+0530,520.55,524.0,513.95,518.15,1309072,KOTAKBANK
2014-09-25T00:00:00+0530,515.15,528.42,512.5,514.25,3633156,KOTAKBANK
2014-09-26T00:00:00+0530,512.48,517.9,505.62,512.17,2310372,KOTAKBANK
2014-09-29T00:00:00+0530,512.15,512.15,498.0,501.68,729626,KOTAKBANK
2014-09-30T00:00:00+0530,506.5,514.6,503.35,506.55,1727534,KOTAKBANK
2014-10-01T00:00:00+0530,504.25,507.35,500.68,505.82,2153050,KOTAKBANK
2014-10-07T00:00:00+0530,503.5,506.55,498.0,502.9,2786558,KOTAKBANK
2014-10-08T00:00:00+0530,503.5,505.7,498.6,500.12,2492310,KOTAKBANK
2014-10-09T00:00:00+0530,501.95,513.2,500.95,511.62,2902602,KOTAKBANK
2014-10-10T00:00:00+0530,508.5,509.62,498.6,501.45,1510402,KOTAKBANK
2014-10-13T00:00:00+0530,499.5,506.38,494.18,504.25,1564130,KOTAKBANK
2014-10-14T00:00:00+0530,506.25,510.5,500.9,506.57,946748,KOTAKBANK
2014-10-16T00:00:00+0530,504.0,504.73,491.23,495.8,1827980,KOTAKBANK
2014-10-17T00:00:00+0530,498.45,502.38,490.18,500.02,2282796,KOTAKBANK
2014-10-20T00:00:00+0530,507.55,516.4,500.55,501.93,2333000,KOTAKBANK
