date,open,high,low,close,volume,scrip_name
2014-08-18T00:00:00+0530,274.67,289.47,273.4,287.53,12905983,ONGC
2014-08-19T00:00:00+0530,290.53,293.67,284.77,290.13,15688120,ONGC
2014-08-20T00:00:00+0530,290.13,290.53,281.33,282.67,8265478,ONGC
2014-08-21T00:00:00+0530,282.97,286.6,281.0,283.93,8002246,ONGC
2014-08-22T00:00:00+0530,285.33,289.63,283.67,284.7,7644314,ONGC
2014-08-25T00:00:00+0530,286.0,289.93,284.77,285.83,7537038,ONGC
2014-08-26T00:00:00+0530,286.67,287.73,274.67,278.67,9017677,ONGC
2014-08-27T00:00:00+0530,283.33,286.6,282.27,285.43,10929306,ONGC
2014-08-28T00:00:00+0530,286.0,292.67,282.67,290.0,12690821,ONGC
2014-09-01T00:00:00+0530,293.23,294.63,290.83,293.03,5520772,ONGC
2014-09-02T00:00:00+0530,292.67,296.83,289.47,296.37,6475474,ONGC
2014-09-03T00:00:00+0530,300.0,300.17,290.0,291.27,8238318,ONGC
2014-09-04T00:00:00+0530,291.33,293.2,287.4,291.67,3714916,ONGC
2014-09-05T00:00:00+0530,291.47,297.73,290.73,295.7,7008951,ONGC
2014-09-08T00:00:00+0530,298.67,304.33,298.2,303.43,9119494,ONGC
2014-09-09T00:00:00+0530,305.27,305.3,296.0,299.6,5288943,ONGC
2014-09-10T00:00:00+0530,296.73,300.53,295.03,296.93,3259465,ONGC
2014-09-11T00:00:00+0530,297.67,298.53,285.33,286.33,8591334,ONGC
2014-09-12T00:00:00+0530,287.43,289.93,283.47,285.77,3971068,ONGC
2014-09-15T00:00:00+0530,283.33,285.17,280.03,280.57,2794240,ONGC
2014-09-16T00:00:00+0530,281.27,282.0,271.47,272.5,9518063,ONGC
2014-09-17T00:00:00+0530,273.17,275.07,269.4,271.7,7635330,ONGC
2014-09-18T00:00:00+0530,272.53,277.47,269.5,275.93,6420257,ONGC
2014-09-19T00:00:00+0530,277.67,278.47,267.7,269.33,12608905,ONGC
2014-09-22T00:00:00+0530,269.3,280.13,268.5,279.4,5338717,ONGC
2014-09-23T00:00:00+0530,280.67,281.2,270.87,271.53,5380030,ONGC
2014-09-24T00:00:00+0530,271.27,277.13,268.13,275.8,6121730,ONGC
2014-09-25T00:00:00+0530,272.67,275.33,263.4,266.9,7378904,ONGC
2014-09-26T00:00:00+0530,265.67,275.63,265.67,274.7,5834842,ONGC
2014-09-29T00:00:00+0530,274.67,276.87,270.37,271.67,3521473,ONGC
2014-09-30T00:00:00+0530,269.13,277.6,269.13,272.37,4990253,ONGC
2014-10-01T00:00:00+0530,273.23,273.3,267.53,268.57,3954944,ONGC
2014-10-07T00:00:00+0530,266.33,270.3,262.2,264.5,6786437,ONGC
2014-10-08T00:00:00+0530,264.5,271.67,264.5,270.77,5644519,ONGC
2014-10-09T00:00:00+0530,271.33,276.23,271.33,274.3,4494473,ONGC
2014-10-10T00:00:00+0530,272.0,273.33,268.67,269.47,3894452,ONGC
2014-10-13T00:00:00+0530,268.53,272.33,265.23,271.17,3907355,ONGC
2014-10-14T00:00:00+0530,271.37,272.97,267.0,268.1,4934024,ONGC
2014-10-16T00:00:00+0530,265.4,272.33,263.33,264.73,9134771,ONGC
2014-10-17T00:00:00+0530,264.8,266.77,261.33,264.73,6550807,ONGC
2014-10-20T00:00:00+0530,286.0,286.0,276.67,279.33,22879892,ONGC
2014-10-21T00:00:00+0530,280.0,280.6,270.37,272.0,9797071,ONGC
2014-10-22T00:00:00+0530,274.3,274.67,264.37,266.3,11612364,ONGC
2014-10-23T00:00:00+0530,269.93,269.93,267.47,268.97,1016774,ONGC
2014-10-27T00:00:00+0530,270.1,270.67,262.4,263.1,4685406,ONGC
2014-10-28T00:00:00+0530,264.33,265.17,259.1,261.13,7865694,ONGC
2014-10-29T00:00:00+0530,263.73,264.23,260.9,261.87,6179234,ONGC
2014-10-30T00:00:00+0530,261.87,265.33,261.7,263.93,7728821,ONGC
2014-10-31T00:00:00+0530,266.1,271.1,265.1,270.1,8708928,ONGC
2014-11-03T00:00:00+0530,270.67,272.0,268.7,269.7,5799948,ONGC
2014-11-05T00:00:00+0530,270.83,271.73,266.73,269.07,7183188,ONGC
2014-11-07T00:00:00+0530,266.87,274.47,266.87,273.1,8287566,ONGC
2014-11-10T00:00:00+0530,274.6,275.0,262.4,262.8,9543425,ONGC
2014-11-11T00:00:00+0530,263.67,266.2,259.03,263.23,7751747,ONGC
2014-11-12T00:00:00+0530,263.63,265.63,261.7,262.43,4509723,ONGC
2014-11-13T00:00:00+0530,264.3,264.67,255.0,257.2,6014183,ONGC
2014-11-14T00:00:00+0530,257.37,263.13,256.73,262.17,7265801,ONGC
2014-11-17T00:00:00+0530,262.3,266.07,261.03,264.3,5573643,ONGC
2014-11-18T00:00:00+0530,265.13,265.47,260.0,260.43,4845521,ONGC
2014-11-19T00:00:00+0530,259.33,263.07,254.53,256.1,6800510,ONGC
2014-11-20T00:00:00+0530,256.0,260.0,254.67,257.17,4887419,ONGC
2014-11-21T00:00:00+0530,255.63,259.8,254.93,255.53,5210929,ONGC
2014-11-24T00:00:00+0530,255.33,257.87,252.23,253.93,4075119,ONGC
2014-11-25T00:00:00+0530,253.33,259.2,250.0,257.63,6929938,ONGC
2014-11-26T00:00:00+0530,255.47,260.37,254.7,257.27,5471628,ONGC
2014-11-27T00:00:00+0530,256.37,258.57,253.33,254.87,9604544,ONGC
2014-11-28T00:00:00+0530,253.5,259.33,251.3,252.93,7112147,ONGC
2014-12-01T00:00:00+0530,252.13,254.67,242.03,242.97,12037511,ONGC
2014-12-02T00:00:00+0530,243.5,246.67,239.23,240.33,7240515,ONGC
2014-12-03T00:00:00+0530,240.33,251.27,240.03,247.63,13800761,ONGC
2014-12-04T00:00:00+0530,250.33,252.27,246.07,247.2,6560119,ONGC
2014-12-05T00:00:00+0530,248.67,249.87,243.2,243.53,6627580,ONGC
2014-12-08T00:00:00+0530,242.97,247.97,242.33,245.53,5229217,ONGC
2014-12-09T00:00:00+0530,244.13,245.27,233.67,234.73,9107969,ONGC
2014-12-10T00:00:00+0530,232.83,241.23,232.83,240.73,6069865,ONGC
2014-12-11T00:00:00+0530,239.33,240.0,231.77,232.97,5716876,ONGC
2014-12-12T00:00:00+0530,233.67,234.5,224.03,224.73,8480644,ONGC
2014-12-15T00:00:00+0530,223.97,230.67,223.33,228.7,7292028,ONGC
