date,open,high,low,close,volume,scrip_name
2014-08-18T00:00:00+0530,331.04,370.13,331.04,345.04,11086658,TATAMTRDVR
2014-08-19T00:00:00+0530,347.37,355.78,342.07,353.7,5767834,TATAMTRDVR
2014-08-20T00:00:00+0530,351.57,359.24,349.59,355.48,3898299,TATAMTRDVR
2014-08-21T00:00:00+0530,357.96,359.74,349.2,354.89,2517951,TATAMTRDVR
2014-08-22T00:00:00+0530,355.68,363.65,353.55,358.35,2054002,TATAMTRDVR
2014-08-25T00:00:00+0530,358.35,365.68,357.31,359.14,2246713,TATAMTRDVR
2014-08-26T00:00:00+0530,355.29,360.73,349.79,359.74,2165214,TATAMTRDVR
2014-08-27T00:00:00+0530,360.73,370.92,360.73,367.95,4227656,TATAMTRDVR
2014-08-28T00:00:00+0530,373.89,378.39,370.13,373.35,4890760,TATAMTRDVR
2014-09-01T00:00:00+0530,376.02,378.94,370.23,373.3,5410730,TATAMTRDVR
2014-09-02T00:00:00+0530,371.76,376.07,365.23,367.95,2975266,TATAMTRDVR
2014-09-03T00:00:00+0530,373.99,378.29,370.48,374.73,4559711,TATAMTRDVR
2014-09-04T00:00:00+0530,374.68,375.23,365.18,366.47,1892265,TATAMTRDVR
2014-09-05T00:00:00+0530,367.16,373.49,366.42,369.78,1696625,TATAMTRDVR
2014-09-08T00:00:00+0530,372.11,372.6,364.29,368.79,3833276,TATAMTRDVR
2014-09-09T00:00:00+0530,372.51,381.31,367.11,379.19,4388194,TATAMTRDVR
2014-09-10T00:00:00+0530,379.04,385.62,375.82,379.48,3499299,TATAMTRDVR
2014-09-11T00:00:00+0530,381.61,384.68,377.7,382.9,2569670,TATAMTRDVR
2014-09-12T00:00:00+0530,383.0,387.3,379.04,383.98,3097475,TATAMTRDVR
2014-09-15T00:00:00+0530,385.72,385.72,375.62,377.16,1888788,TATAMTRDVR
2014-09-16T00:00:00+0530,372.55,374.73,351.33,353.85,4258118,TATAMTRDVR
2014-09-17T00:00:00+0530,358.45,363.6,343.06,361.87,3184685,TATAMTRDVR
2014-09-18T00:00:00+0530,361.42,374.78,357.26,373.3,3293764,TATAMTRDVR
2014-09-19T00:00:00+0530,375.08,377.9,360.73,363.2,3985995,TATAMTRDVR
2014-09-22T00:00:00+0530,362.51,376.91,359.24,375.18,3529112,TATAMTRDVR
2014-09-23T00:00:00+0530,376.07,376.61,355.38,358.01,4078996,TATAMTRDVR
2014-09-24T00:00:00+0530,358.7,358.7,346.68,350.24,3586398,TATAMTRDVR
2014-09-25T00:00:00+0530,349.3,351.23,333.51,338.36,5138783,TATAMTRDVR
2014-09-26T00:00:00+0530,336.58,352.66,326.29,351.28,2973862,TATAMTRDVR
2014-09-29T00:00:00+0530,351.67,356.03,347.17,348.41,1737234,TATAMTRDVR
2014-09-30T00:00:00+0530,344.94,353.26,339.75,341.53,1720982,TATAMTRDVR
2014-10-01T00:00:00+0530,342.67,344.7,337.57,339.7,1387258,TATAMTRDVR
2014-10-07T00:00:00+0530,337.62,346.38,334.7,339.65,1902212,TATAMTRDVR
2014-10-08T00:00:00+0530,337.82,342.37,330.64,335.89,1712746,TATAMTRDVR
2014-10-09T00:00:00+0530,338.96,343.61,336.48,340.54,2651120,TATAMTRDVR
2014-10-10T00:00:00+0530,337.47,337.47,320.15,320.85,3373247,TATAMTRDVR
2014-10-13T00:00:00+0530,320.25,321.64,309.71,318.12,4217373,TATAMTRDVR
2014-10-14T00:00:00+0530,320.75,322.92,312.63,313.72,2068636,TATAMTRDVR
2014-10-16T00:00:00+0530,309.81,319.06,298.18,301.15,2372192,TATAMTRDVR
2014-10-17T00:00:00+0530,299.91,309.76,288.98,306.89,4253089,TATAMTRDVR
2014-10-20T00:00:00+0530,310.7,319.51,308.13,311.74,2447726,TATAMTRDVR
2014-10-21T00:00:00+0530,308.77,316.09,308.38,313.08,2642698,TATAMTRDVR
2014-10-22T00:00:00+0530,317.73,320.65,314.76,319.51,2787692,TATAMTRDVR
2014-10-23T00:00:00+0530,321.64,322.23,317.93,320.2,372865,TATAMTRDVR
2014-10-27T00:00:00+0530,320.55,322.08,313.42,314.91,3016009,TATAMTRDVR
2014-10-28T00:00:00+0530,311.74,317.68,310.75,314.17,1415171,TATAMTRDVR
2014-10-29T00:00:00+0530,316.74,327.38,316.74,325.84,3656695,TATAMTRDVR
2014-10-30T00:00:00+0530,322.63,327.92,321.64,324.36,3348136,TATAMTRDVR
2014-10-31T00:00:00+0530,324.66,335.34,324.66,331.83,3650526,TATAMTRDVR
2014-11-03T00:00:00+0530,328.47,332.33,325.6,326.78,1233483,TATAMTRDVR
2014-11-05T00:00:00+0530,327.57,327.87,316.89,318.57,3333084,TATAMTRDVR
2014-11-07T00:00:00+0530,319.21,327.18,315.11,325.2,2952946,TATAMTRDVR
2014-11-10T00:00:00+0530,322.23,323.22,317.93,320.2,1945157,TATAMTRDVR
2014-11-11T00:00:00+0530,318.12,323.12,317.58,320.55,1028599,TATAMTRDVR
2014-11-12T00:00:00+0530,318.22,327.67,318.22,323.37,1414794,TATAMTRDVR
2014-11-13T00:00:00+0530,325.99,325.99,317.33,318.02,1194639,TATAMTRDVR
2014-11-14T00:00:00+0530,318.37,323.07,318.37,319.81,1281920,TATAMTRDVR
2014-11-17T00:00:00+0530,316.59,334.3,316.24,333.31,3221564,TATAMTRDVR
2014-11-18T00:00:00+0530,334.7,337.47,327.82,329.36,2084239,TATAMTRDVR
2014-11-19T00:00:00+0530,329.06,331.24,318.67,321.54,1934944,TATAMTRDVR
2014-11-20T00:00:00+0530,320.45,327.82,317.18,325.5,1362057,TATAMTRDVR
2014-11-21T00:00:00+0530,325.79,335.49,325.79,328.02,2059147,TATAMTRDVR
2014-11-24T00:00:00+0530,330.54,334.4,329.55,333.12,1271344,TATAMTRDVR
2014-11-25T00:00:00+0530,332.23,333.31,318.67,320.5,2056751,TATAMTRDVR
2014-11-26T00:00:00+0530,319.86,327.53,317.98,325.35,809998,TATAMTRDVR
2014-11-27T00:00:00+0530,324.51,328.02,321.64,322.92,1345552,TATAMTRDVR
2014-11-28T00:00:00+0530,324.8,338.26,321.24,336.18,2828289,TATAMTRDVR
2014-12-01T00:00:00+0530,339.7,348.11,332.08,345.93,2993326,TATAMTRDVR
2014-12-02T00:00:00+0530,348.95,351.43,345.24,347.76,2399215,TATAMTRDVR
2014-12-03T00:00:00+0530,350.34,356.67,344.15,351.57,3317132,TATAMTRDVR
2014-12-04T00:00:00+0530,352.51,354.64,341.83,344.7,1692627,TATAMTRDVR
2014-12-05T00:00:00+0530,344.89,348.36,340.04,342.67,1036441,TATAMTRDVR
2014-12-08T00:00:00+0530,346.28,346.28,335.74,337.27,1113283,TATAMTRDVR
2014-12-09T00:00:00+0530,338.26,340.94,318.96,320.99,1696910,TATAMTRDVR
2014-12-10T00:00:00+0530,318.87,333.36,317.93,332.37,1571895,TATAMTRDVR
2014-12-11T00:00:00+0530,329.8,335.99,321.64,332.72,1584375,TATAMTRDVR
2014-12-12T00:00:00+0530,329.8,340.29,329.8,333.36,2760845,TATAMTRDVR
2014-12-15T00:00:00+0530,329.65,338.96,326.59,332.37,2127836,TATAMTRDVR
2014-12-16T00:00:00+0530,327.08,334.7,318.67,321.24,2252821,TATAMTRDVR
2014-12-17T00:00:00+0530,319.86,325.89,307.39,314.76,1826446,TATAMTRDVR
2014-12-18T00:00:00+0530,320.65,328.47,318.67,324.7,1623829,TATAMTRDVR
