date,open,high,low,close,volume,scrip_name
2017-05-15T09:15:00+0530,82.55,82.65,82.15,82.25,74942,TATAPOWER
2017-05-15T09:30:00+0530,82.2,82.3,82.2,82.2,17562,TATAPOWER
2017-05-15T09:45:00+0530,82.25,82.25,82.15,82.15,41520,TATAPOWER
2017-05-15T10:00:00+0530,82.15,82.35,82.15,82.35,82606,TATAPOWER
2017-05-15T10:15:00+0530,82.35,83.1,82.3,82.95,314481,TATAPOWER
2017-05-15T10:30:00+0530,82.95,82.95,82.45,82.75,101153,TATAPOWER
2017-05-15T10:45:00+0530,82.75,83.0,82.7,82.85,37550,TATAPOWER
2017-05-15T11:00:00+0530,82.85,82.85,82.7,82.75,49577,TATAPOWER
2017-05-15T11:15:00+0530,82.75,82.75,82.55,82.65,40382,TATAPOWER
2017-05-15T11:30:00+0530,82.65,82.65,82.45,82.6,75438,TATAPOWER
2017-05-15T11:45:00+0530,82.6,82.8,82.6,82.75,34189,TATAPOWER
2017-05-15T12:00:00+0530,82.75,82.8,82.55,82.65,44436,TATAPOWER
2017-05-15T12:15:00+0530,82.65,82.7,82.5,82.5,73011,TATAPOWER
2017-05-15T12:30:00+0530,82.5,82.75,82.5,82.65,105480,TATAPOWER
2017-05-15T12:45:00+0530,82.65,82.85,82.65,82.65,44197,TATAPOWER
2017-05-15T13:00:00+0530,82.65,83.25,82.65,82.95,250637,TATAPOWER
2017-05-15T13:15:00+0530,82.95,83.0,82.8,82.8,20744,TATAPOWER
2017-05-15T13:30:00+0530,82.8,82.85,82.7,82.8,14685,TATAPOWER
2017-05-15T13:45:00+0530,82.8,82.9,82.75,82.85,22174,TATAPOWER
2017-05-15T14:00:00+0530,82.85,82.9,82.6,82.65,38400,TATAPOWER
2017-05-15T14:15:00+0530,82.65,83.0,82.6,83.0,78760,TATAPOWER
2017-05-15T14:30:00+0530,83.0,83.45,82.9,83.35,105769,TATAPOWER
2017-05-15T14:45:00+0530,83.35,83.35,83.1,83.2,31613,TATAPOWER
2017-05-15T15:00:00+0530,83.2,83.6,83.15,83.5,148629,TATAPOWER
2017-05-15T15:15:00+0530,83.5,83.8,83.45,83.55,151918,TATAPOWER
2017-05-16T09:15:00+0530,83.7,83.8,83.4,83.65,267570,TATAPOWER
2017-05-16T09:30:00+0530,83.6,85.9,83.55,84.9,1800649,TATAPOWER
2017-05-16T09:45:00+0530,84.85,84.95,84.5,84.75,305454,TATAPOWER
2017-05-16T10:00:00+0530,84.7,84.75,84.05,84.15,182606,TATAPOWER
2017-05-16T10:15:00+0530,84.15,84.15,83.8,83.85,158918,TATAPOWER
2017-05-16T10:30:00+0530,83.85,84.0,83.8,83.85,82834,TATAPOWER
2017-05-16T10:45:00+0530,83.85,83.9,83.55,83.6,84883,TATAPOWER
2017-05-16T11:00:00+0530,83.6,83.65,83.45,83.6,161820,TATAPOWER
2017-05-16T11:15:00+0530,83.5,83.6,83.5,83.55,52853,TATAPOWER
2017-05-16T11:30:00+0530,83.55,83.85,83.5,83.8,92040,TATAPOWER
2017-05-16T11:45:00+0530,83.8,83.85,83.75,83.75,60668,TATAPOWER
2017-05-16T12:00:00+0530,83.75,83.9,83.7,83.7,66163,TATAPOWER
2017-05-16T12:15:00+0530,83.7,83.9,83.65,83.85,60750,TATAPOWER
2017-05-16T12:30:00+0530,83.85,83.9,83.7,83.7,62374,TATAPOWER
