date,open,high,low,close,adj close,volume,20_sma,50_sma,200_sma,macd_12_26,macdsign_12_26,macddiff_12_26,stocastic_kdjd_5,stocastic_kdjk_3,rsi_rsi_14,adx_adx_15_ema,bbands_boll,bbands_boll_ub,bbands_boll_lb,atr_atr,stock_name
2016-06-08,99.02,99.56,98.68,98.94,96.701,20848100,96.499,100.905,106.225,0.141,-0.382,0.524,48.671,37.577,53.808,34.338,96.499,102.883,90.116,1.851,AAPL
2016-06-09,98.5,99.99,98.46,99.65,97.395,26601400,96.856,100.707,106.208,0.248,-0.256,0.504,47.665,50.977,56.53,34.429,96.856,103.098,90.615,1.828,AAPL
2016-06-10,98.53,99.35,98.48,98.83,96.594,31712900,97.281,100.503,106.183,0.264,-0.152,0.416,45.199,42.046,52.669,34.71,97.281,102.765,91.797,1.781,AAPL
2016-06-13,98.69,99.12,97.1,97.34,95.137,38020500,97.622,100.25,106.122,0.154,-0.091,0.245,40.004,30.799,46.46,34.02,97.622,102.09,93.154,1.798,AAPL
2016-06-14,97.32,98.48,96.75,97.46,95.255,31931900,97.801,99.977,106.044,0.076,-0.058,0.134,35.685,29.635,47.002,32.516,97.801,101.91,93.692,1.793,AAPL
2016-06-15,97.82,98.41,97.03,97.14,94.942,29445200,97.983,99.724,105.964,-0.012,-0.048,0.037,31.138,25.242,45.675,30.555,97.983,101.579,94.388,1.763,AAPL
2016-06-16,96.45,97.75,96.07,97.55,95.343,31326800,98.133,99.456,105.888,-0.047,-0.048,0.001,30.671,37.298,47.712,28.757,98.133,101.359,94.907,1.757,AAPL
2016-06-17,96.62,96.65,95.3,95.33,93.173,61008200,98.19,99.191,105.826,-0.252,-0.089,-0.163,27.142,25.187,39.15,27.555,98.19,101.154,95.225,1.793,AAPL
2016-06-20,96.0,96.57,95.03,95.1,92.948,34411900,98.184,98.92,105.739,-0.428,-0.157,-0.271,22.784,17.649,38.381,26.91,98.184,101.174,95.193,1.775,AAPL
2016-06-21,94.94,96.35,94.68,95.91,93.74,35546400,98.158,98.658,105.667,-0.496,-0.225,-0.271,21.979,32.578,42.651,26.822,98.158,101.22,95.095,1.767,AAPL
2016-06-22,96.25,96.89,95.35,95.55,93.388,29219100,98.04,98.36,105.599,-0.573,-0.294,-0.278,22.328,34.841,41.282,26.516,98.04,101.317,94.763,1.751,AAPL
2016-06-23,95.94,96.29,95.25,96.1,93.925,32240200,97.864,98.041,105.518,-0.582,-0.352,-0.23,27.142,44.645,44.227,26.154,97.864,101.162,94.566,1.7,AAPL
2016-06-24,92.91,94.66,92.65,93.4,91.287,75311400,97.514,97.667,105.434,-0.798,-0.441,-0.357,28.231,35.66,34.956,26.955,97.514,101.145,93.882,1.825,AAPL
2016-06-27,93.0,93.05,91.5,92.04,89.957,45489600,97.098,97.311,105.331,-1.067,-0.566,-0.501,26.691,27.531,31.387,28.739,97.098,101.23,92.966,1.83,AAPL
2016-06-28,92.9,93.66,92.14,93.59,91.472,40444900,96.785,97.033,105.228,-1.142,-0.681,-0.461,27.35,40.4,39.028,30.503,96.785,100.985,92.584,1.815,AAPL
2016-06-29,93.97,94.55,93.63,94.4,92.264,36531000,96.582,96.783,105.123,-1.123,-0.77,-0.353,31.33,58.628,42.624,31.449,96.582,100.833,92.33,1.754,AAPL
2016-06-30,94.44,95.77,94.3,95.6,93.437,35836400,96.476,96.553,105.02,-0.999,-0.816,-0.184,40.287,70.857,47.558,31.024,96.476,100.714,92.237,1.734,AAPL
2016-07-01,95.49,96.47,95.33,95.89,93.72,26026500,96.374,96.351,104.917,-0.868,-0.826,-0.042,49.606,73.764,48.706,29.941,96.374,100.563,92.185,1.692,AAPL
2016-07-05,95.39,95.4,94.46,94.99,92.841,27705200,96.192,96.137,104.823,-0.827,-0.826,-0.001,55.549,59.775,45.385,28.423,96.192,100.284,92.1,1.673,AAPL
2016-07-06,94.6,95.66,94.37,95.53,93.368,30949100,96.017,95.946,104.733,-0.743,-0.81,0.067,59.452,58.263,47.69,26.519,96.017,99.891,92.143,1.646,AAPL
2016-07-07,95.7,96.5,95.62,95.94,93.769,25139600,95.867,95.778,104.637,-0.635,-0.775,0.139,62.864,63.411,49.435,24.836,95.867,99.489,92.245,1.597,AAPL
