date,open,high,low,close,volume,scrip_name,stocastic_kdjd_5,stocastic_kdjk_3,rsi_rsi_14,adx_adx_15_ema,macd_macd,macd_macds,macd_macdh,bbands_boll,bbands_boll_ub,bbands_boll_lb,atr_atr,stock_name
2017-05-15T11:15:00+0530,1700.5,1701.9,1691.1,1693.8,22918,ACC,58.762,60.456,0.0,100.0,-0.364,-0.189,-0.349,1700.083,1712.255,1687.912,11.137,ACC-NSE-2017-05-15-to-2017-08-15-60minute
2017-05-15T12:15:00+0530,1693.8,1694.0,1689.25,1691.35,20502,ACC,57.403,44.483,0.0,100.0,-0.553,-0.312,-0.481,1697.9,1711.13,1684.67,8.848,ACC-NSE-2017-05-15-to-2017-08-15-60minute
2017-05-15T13:15:00+0530,1691.35,1692.5,1684.0,1685.65,14985,ACC,53.283,32.728,0.0,100.0,-0.871,-0.478,-0.785,1695.45,1711.303,1679.597,8.751,ACC-NSE-2017-05-15-to-2017-08-15-60minute
2017-05-15T14:15:00+0530,1685.65,1687.3,1682.7,1684.0,21372,ACC,46.152,25.654,0.0,100.0,-1.116,-0.651,-0.93,1693.542,1710.526,1676.558,7.794,ACC-NSE-2017-05-15-to-2017-08-15-60minute
2017-05-15T15:15:00+0530,1684.0,1684.75,1678.15,1683.35,21191,ACC,40.287,29.181,0.0,100.0,-1.284,-0.811,-0.945,1692.086,1709.399,1674.773,7.556,ACC-NSE-2017-05-15-to-2017-08-15-60minute
2017-05-16T09:15:00+0530,1683.9,1734.4,1683.9,1723.0,205897,ACC,42.063,46.032,70.576,97.281,0.51,-0.494,2.008,1695.95,1723.057,1668.843,15.232,ACC-NSE-2017-05-15-to-2017-08-15-60minute
2017-05-16T10:15:00+0530,1723.0,1734.9,1721.1,1731.7,74101,ACC,48.664,62.142,74.782,93.81,2.176,0.123,4.107,1699.922,1734.721,1665.124,15.003,ACC-NSE-2017-05-15-to-2017-08-15-60minute
2017-05-16T11:15:00+0530,1731.7,1740.0,1728.0,1728.75,124409,ACC,55.28,68.077,71.072,90.508,3.175,0.807,4.736,1702.805,1740.339,1665.271,14.563,ACC-NSE-2017-05-15-to-2017-08-15-60minute
2017-05-16T12:15:00+0530,1728.75,1736.0,1728.0,1731.6,64412,ACC,61.681,63.903,72.492,87.52,4.003,1.506,4.995,1705.423,1745.039,1665.807,13.667,ACC-NSE-2017-05-15-to-2017-08-15-60minute
2017-05-16T13:15:00+0530,1731.6,1734.45,1727.05,1728.75,43498,ACC,66.555,46.978,68.853,84.675,4.4,2.128,4.545,1707.367,1747.468,1667.265,12.864,ACC-NSE-2017-05-15-to-2017-08-15-60minute
