date,close,date.1,high,low,open,volume,stocastic_kdjd_5,stocastic_kdjk_3,rsi_rsi_14,adx_adx_15_ema,macd_macd,macd_macds,macd_macdh,bbands_boll,bbands_boll_ub,bbands_boll_lb,atr_atr,stock_name
2016-06-01T09:20:00+0530,221.45,2016-06-01T09:20:00+0530,221.59,220.64,221.55,317139,56.456,63.736,0.0,100.0,-0.002,-0.001,-0.002,221.5,221.641,221.359,0.95,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T09:25:00+0530,221.45,2016-06-01T09:25:00+0530,222.0,221.14,221.45,222861,58.418,62.343,0.0,73.112,-0.003,-0.002,-0.002,221.483,221.599,221.368,0.903,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T09:30:00+0530,221.41,2016-06-01T09:30:00+0530,221.95,221.18,221.45,182026,59.09,60.435,0.0,58.071,-0.005,-0.003,-0.003,221.465,221.584,221.346,0.856,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T09:35:00+0530,221.45,2016-06-01T09:35:00+0530,221.55,221.09,221.41,110336,59.441,53.477,25.444,47.024,-0.004,-0.003,-0.001,221.462,221.566,221.358,0.745,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T09:40:00+0530,221.5,2016-06-01T09:40:00+0530,221.82,221.41,221.5,103752,60.019,51.543,44.465,41.353,-0.001,-0.003,0.003,221.468,221.567,221.37,0.668,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T09:45:00+0530,221.59,2016-06-01T09:45:00+0530,221.91,221.45,221.5,108174,59.712,54.687,62.842,38.681,0.005,-0.001,0.011,221.486,221.614,221.357,0.627,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T09:50:00+0530,221.68,2016-06-01T09:50:00+0530,221.91,221.55,221.59,115775,60.563,54.458,72.605,37.419,0.013,0.003,0.021,221.51,221.692,221.328,0.58,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T09:55:00+0530,221.82,2016-06-01T09:55:00+0530,222.05,221.55,221.73,153690,62.662,56.861,80.977,37.542,0.025,0.008,0.035,221.544,221.812,221.277,0.567,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T10:00:00+0530,222.23,2016-06-01T10:00:00+0530,222.36,221.59,221.73,213826,66.222,65.891,90.314,39.171,0.055,0.018,0.073,221.613,222.115,221.111,0.597,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T10:05:00+0530,221.91,2016-06-01T10:05:00+0530,222.18,221.64,222.18,149647,66.064,58.742,63.937,41.444,0.058,0.027,0.062,221.64,222.148,221.132,0.596,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T10:10:00+0530,221.77,2016-06-01T10:10:00+0530,222.0,221.77,221.82,96771,61.67,46.954,56.204,43.922,0.052,0.033,0.04,221.651,222.141,221.16,0.549,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T10:15:00+0530,221.77,2016-06-01T10:15:00+0530,222.0,221.59,221.82,88051,55.883,41.472,56.204,44.667,0.047,0.036,0.023,221.66,222.134,221.186,0.532,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T10:20:00+0530,221.91,2016-06-01T10:20:00+0530,222.0,221.77,221.77,88862,51.72,53.664,61.592,44.418,0.051,0.039,0.024,221.678,222.153,221.203,0.497,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T10:25:00+0530,222.14,2016-06-01T10:25:00+0530,222.23,221.91,221.91,135145,53.671,64.422,68.457,44.457,0.067,0.045,0.044,221.709,222.225,221.193,0.478,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T10:30:00+0530,222.95,2016-06-01T10:30:00+0530,222.95,222.05,222.23,375899,59.686,76.281,81.201,45.723,0.127,0.062,0.131,221.786,222.582,220.99,0.523,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T10:35:00+0530,221.86,2016-06-01T10:35:00+0530,223.14,221.68,222.91,367675,57.663,54.964,51.214,46.024,0.104,0.07,0.067,221.791,222.562,221.019,0.619,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T10:40:00+0530,222.05,2016-06-01T10:40:00+0530,222.27,221.77,221.91,106805,53.173,45.09,54.377,45.745,0.097,0.076,0.043,221.805,222.564,221.046,0.607,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T10:45:00+0530,222.0,2016-06-01T10:45:00+0530,222.23,221.91,222.05,99886,47.704,37.366,53.396,45.134,0.087,0.078,0.018,221.815,222.558,221.073,0.579,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T10:50:00+0530,221.36,2016-06-01T10:50:00+0530,222.14,221.36,222.0,124422,39.973,24.911,42.762,43.461,0.037,0.07,-0.066,221.792,222.543,221.042,0.598,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T10:55:00+0530,221.27,2016-06-01T10:55:00+0530,221.45,220.77,221.36,193059,34.44,28.023,41.51,42.229,-0.008,0.054,-0.125,221.778,222.558,220.999,0.606,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T11:00:00+0530,221.32,2016-06-01T11:00:00+0530,221.55,221.09,221.27,88528,32.228,32.064,42.517,41.024,-0.04,0.035,-0.15,221.772,222.565,220.979,0.593,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T11:05:00+0530,221.18,2016-06-01T11:05:00+0530,221.41,221.09,221.32,71498,30.785,38.897,40.418,39.882,-0.073,0.013,-0.173,221.758,222.584,220.933,0.568,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T11:10:00+0530,221.09,2016-06-01T11:10:00+0530,221.41,221.05,221.27,65812,29.318,28.598,39.083,38.898,-0.105,-0.01,-0.189,221.742,222.607,220.878,0.55,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T11:15:00+0530,221.45,2016-06-01T11:15:00+0530,221.73,221.0,221.14,92510,33.279,39.613,46.672,37.021,-0.103,-0.029,-0.148,221.742,222.607,220.878,0.566,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T11:20:00+0530,221.36,2016-06-01T11:20:00+0530,221.59,221.36,221.45,35548,36.821,42.847,45.158,34.668,-0.107,-0.045,-0.124,221.736,222.611,220.86,0.537,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T11:25:00+0530,220.73,2016-06-01T11:25:00+0530,221.45,220.64,221.36,112702,35.221,31.317,36.282,33.458,-0.153,-0.066,-0.173,221.692,222.676,220.709,0.56,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T11:30:00+0530,220.82,2016-06-01T11:30:00+0530,220.91,220.5,220.82,88852,33.488,30.664,38.152,33.171,-0.181,-0.089,-0.183,221.649,222.708,220.591,0.548,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T11:35:00+0530,220.86,2016-06-01T11:35:00+0530,220.91,220.73,220.82,46219,32.248,33.074,39.009,33.463,-0.197,-0.111,-0.173,221.601,222.713,220.49,0.518,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T11:40:00+0530,220.5,2016-06-01T11:40:00+0530,220.86,220.23,220.82,140380,30.32,35.285,34.391,34.641,-0.234,-0.136,-0.198,221.515,222.688,220.342,0.527,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T11:45:00+0530,220.91,2016-06-01T11:45:00+0530,221.18,220.41,220.5,93108,32.288,47.383,42.709,35.342,-0.23,-0.155,-0.152,221.465,222.652,220.278,0.546,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T11:50:00+0530,220.0,2016-06-01T11:50:00+0530,220.91,219.91,220.91,148769,30.362,33.951,32.776,36.279,-0.292,-0.182,-0.219,221.376,222.721,220.032,0.582,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T11:55:00+0530,220.09,2016-06-01T11:55:00+0530,220.55,220.0,220.0,141710,27.707,27.358,34.401,37.33,-0.33,-0.212,-0.236,221.292,222.74,219.845,0.58,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T12:00:00+0530,220.73,2016-06-01T12:00:00+0530,220.91,220.0,220.09,106686,30.623,45.572,44.648,37.428,-0.308,-0.231,-0.154,221.233,222.671,219.796,0.606,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T12:05:00+0530,220.82,2016-06-01T12:05:00+0530,220.82,220.27,220.68,61829,36.478,60.418,45.927,36.931,-0.28,-0.241,-0.079,221.167,222.55,219.785,0.601,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T12:10:00+0530,220.68,2016-06-01T12:10:00+0530,221.09,220.55,220.82,72603,42.277,61.074,44.215,35.404,-0.266,-0.246,-0.041,221.054,222.167,219.941,0.596,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
2016-06-01T12:15:00+0530,220.36,2016-06-01T12:15:00+0530,220.73,220.36,220.68,47147,43.827,44.374,40.5,33.679,-0.276,-0.252,-0.049,220.979,222.065,219.893,0.579,ICICIBANK-NSE-2016-06-01-to-2016-06-05-5minute
